secret:secrets,confidential,hidden,spy,revealing,hiding,hide,mystery,reveal
leaked:leak,surfaced,releasing,released,revealed,confidential,revealing,secret,contained,dumped
impossible:difficult,easy,harder,easier,unable,unlikely,necessary,hard,inevitable,complicated
echoed:voiced,expressed,reiterated,repeated,reflected,shared,greeted,emphasized,expressing,welcomed
honest:honestly,transparent,me,think,minded,always,suppose,genuine,really
examine:examining,evaluate,examined,investigate,assess,analyze,explore,determine,evaluating,discuss
passion:enthusiasm,passionate,love,desire,creativity,joy,excitement,dedication,spirit,emotion
really:obviously,definitely,think,pretty,just,kind,everybody,so,certainly
reminded:reminds,remind,telling,remember,reminder,emphasized,aware,tell,advised,forget
volatile:volatility,contentious,tense,sensitive,fragile,turmoil,risky,dangerous,violent,difficult
cope:handle,adapt,dealing,survive,overcome,compensate,ease,manage,accommodate,adjust
eye:eyes,ear,nose,mind,ears,sight,hand,elbow,skin,thumb
sensitivity:sensitive,complexity,frequency,clarity,characteristics,intensity,flexibility,concentration,density,anonymity
comment:comments,commenting,confirm,specifics,declined,immediately,reply,spokesman,contacted,elaborate
creates:create,creating,created,provides,brings,reduces,gives,makes,puts,produces
insisted:insists,insisting,stressed,acknowledged,insist,emphasized,argued,admitted,claimed,reiterated
grateful:thankful,thank,proud,glad,fortunate,delighted,thrilled,thanked,pleased,appreciate
unable:able,failed,inability,attempting,failing,forced,struggling,trying,struggled,refused
acknowledged:admitted,noted,conceded,insisted,emphasized,admits,stressed,acknowledge,said,noting
build:construct,develop,built,rebuild,establish,builds,create,expand,maintain,transform
tell:know,telling,tells,ask,say,see,remind,explain,remember
defined:define,characterized,specified,definition,refers,measured,describe,applicable,ie,labeled
said:says,explained,noted,stressed,told,added,adding,acknowledged,emphasized
flexibility:flexible,functionality,capability,leverage,capabilities,advantages,clarity,ability,complexity,mobility
shared:sharing,exchanged,echoed,expressed,share,mutual,embraced,reflected,matched,met
contentious:controversial,tense,heated,dispute,disputes,debate,bitter,complicated,controversy,disputed
maximize:minimize,enhance,reduce,enhancing,improve,utilize,ensure,evaluate,achieve,facilitate
enjoy:enjoying,enjoyed,appreciate,enjoys,relax,fun,celebrate,wonderful,loves,prefer
surprises:surprise,surprising,disappointment,unexpected,expecting,surprised,things,additions,laughs,interesting
suffer:suffers,suffering,suffered,severe,lose,die,affect,affected,endured,experiencing
linebacker:cornerback,quarterback,defensive,receiver,tackles,shortstop,outfielder,quarterbacks
compare:comparing,comparison,compares,comparable,evaluate,analyze,assess,describe,examine,compared
disappeared:disappearance,missing,disappear,abducted,gone,fled,collapsed,recovered,forgotten,escaped
immediately:promptly,shortly,quickly,instantly,soon,immediate,subsequently,not,comment,eventually
shortstop:baseman,catcher,outfielder,pitcher,hitter,pitchers,quarterback,linebacker,goalie,inning
pretty:very,quite,fairly,really,incredibly,so,extremely,too,obviously,just
essentially:basically,practically,virtually,entirely,completely,largely,simply,totally,merely,literally
evaluating:evaluate,reviewing,examining,evaluated,assess,evaluation,exploring,determining,examine,analyze
mobility:connectivity,flexibility,mobile,productivity,disabilities,computing,competitiveness,communication,disabled,freedom
trying:attempting,tried,try,hoping,aiming,attempt,attempted,helping,wanting,struggling
basically:essentially,totally,whole,just,kind,really,literally,anyway,completely,practically
survived:surviving,survive,escaped,endured,suffered,rescued,died,killed,saved,alive
desire:willingness,wanting,passion,belief,determination,preference,feelings,enthusiasm,intention,commitment
reveals:revealed,suggests,revealing,finds,reveal,confirms,indicates,shows,describes,tells
critical:crucial,vital,important,essential,key,pivotal,valuable,significant,necessary,fundamental
glasses:bottle,bottles,glass,drinks,drink,hat,shoes,helmet,plates,eyes
investigate:investigating,investigated,examine,examining,probe,investigation,evaluate,assess,inquiry,investigations
hand:hands,finger,fingers,arm,thumb,ear,handed,shoulder,wrist,shoulders
thought:knew,think,figured,felt,guess,probably,believed,thinking,maybe,looked
describe:describing,define,described,refer,explain,describes,refers,characterized,identify,compare
alive:intact,surviving,dead,survive,dying,survived,buried,rescued,trapped,missing
communication:communications,communicate,interaction,coordination,connectivity,contacts,collaboration,notification,connections,dialogue
story:stories,tale,article,reporter,script,column,fiction,plot,writer
released:releasing,release,published,issued,releases,unveiled,obtained,leaked,freed,compiled
severe:serious,mild,suffering,acute,suffered,suffer,devastating,extreme,chronic,prolonged
consider:considering,recommend,considered,propose,considers,look,decide,examine,consult,advise
murders:killings,murder,slaying,shootings,murdered,crimes,homicide,crime,killing,deaths
considers:sees,believes,thinks,finds,considered,describes,recognizes,agrees,consider,maintains
dumped:dump,buried,thrown,dragged,washed,abandoned,tossed,crushed,swept,poured
baseman:shortstop,catcher,outfielder,pitcher,inning,hitter,pitchers,defenseman,quarterback
fleeing:fled,flee,escaped,escape,chased,evacuated,arrested,leaving,hiding,refugees
elderly:disabled,homeless,older,woman,aged,children,young,disabilities,families,residents
crimes:crime,murders,offenses,criminals,killings,abuses,criminal,murder,rape,homicide
voiced:expressed,expressing,echoed,express,spoken,reiterated,spoke,voice,vocal,signaled
examining:examine,reviewing,examined,evaluating,investigating,exploring,studying,discussing,evaluate,investigate
sees:considers,thinks,finds,believes,describes,looks,warns,predicts,agrees,knows
fortunate:lucky,thankful,grateful,blessed,glad,pleased,proud,happy,thrilled,wonderful
passionate:passion,enthusiastic,love,excited,loving,loyal,loved,proud,entertaining,enthusiasm
produce:produced,producing,produces,generate,deliver,create,develop,provide,distribute,manufacture
debate:debates,discussion,controversy,conversation,discussions,contentious,dispute,arguments,argument,forum
finger:fingers,thumb,wrist,nose,hand,elbow,ankle,leg,arm,shoulder
older:younger,newer,age,aged,aging,ages,young,adult,elderly,mature
attempting:trying,attempted,attempt,tried,attempts,unable,aiming,try,tries,hoping
sustain:maintain,survive,sustained,generate,recover,achieve,establish,justify,stabilize,overcome
unlikely:likely,expected,reluctant,impossible,could,poised,inevitable,hopeful,might,unclear
affect:affecting,affects,affected,impacted,impact,impacts,alter,threaten,depend,hurt
weaknesses:strengths,weakness,gaps,mistakes,problems,failures,errors,difficulties,challenges,differences
identified:identify,identifying,described,referred,found,unidentified,discovered,named,recognized,disclosed
conversation:conversations,discussion,discussions,chat,dialogue,debate,talk,talking,talks,debates
poised:positioned,eager,ready,aiming,expected,hoping,unlikely,preparing,prepares,attempting
ears:ear,eyes,nose,mouth,fingers,hearts,throat,teeth,listening,hands
confronted:confront,faced,attacked,approached,chased,encountered,facing,posed,stabbed,met
notify:notified,inform,notification,alerted,notice,warn,consult,informed,disclose,contacted
loving:caring,loved,love,loves,beloved,passionate,lovely,beautiful,wonderful,lovers
expecting:expect,expected,hoping,predicting,surprised,predicted,going,expects,seeing,hopeful
density:zoning,size,frequency,speeds,bandwidth,concentration,residential,urban,connectivity,fiber
mild:severe,slight,moderate,nasty,minor,harsh,modest,sharp,cold,extreme
minor:serious,slight,minimal,major,mild,occasional,significant,severe,substantial,subtle
investigation:investigations,probe,inquiry,investigating,investigators,investigated,investigate,inquiries,autopsy,investigator
devastating:disastrous,devastated,terrible,shocking,deadly,tragic,damaging,severe,brutal,painful
insisting:insisted,insists,insist,saying,claiming,arguing,suggesting,admitting,declaring,vowed
declaring:declared,declare,stating,declaration,announcing,insisting,saying,claiming,suggesting,believing
adult:adults,ages,teen,juvenile,teens,teenage,age,children,child,male
generate:generating,generated,create,produce,attract,translate,sustain,develop,provide,build
freedom:democracy,independence,dignity,expression,democratic,rights,freely,prosperity
crucial:vital,key,pivotal,critical,important,essential,decisive,valuable,difficult,necessary
dragged:pushed,drag,chased,plunged,slipped,pulled,slid,dumped,thrown,tumbled
plunged:tumbled,fell,slumped,soared,surged,slid,sank,dipped,climbed,slipped
hands:hand,fingers,knees,arm,shoulders,arms,ears,eyes,ear,finger
ie:whereas,namely,b,or,thus,therefore,thereby
argument:arguments,arguing,argue,argued,theory,notion,suggestion,debate,case,testimony
debates:debate,discussion,discussions,hearings,speeches,forums,arguments,conversation,presidential,forum
achieve:achieving,achieved,accomplish,reach,deliver,fulfill,maximize,sustain,maintain,accomplished
admitted:confessed,admits,admitting,acknowledged,insisted,admit,conceded,accused,claimed
deaths:death,killed,murders,accidents,killings,fatal,killing,died,incidents
disputed:dispute,disputes,contentious,rejected,denied,defended,challenged,controversial,denies,questioned
arguments:argument,testimony,objections,arguing,debate,debates,case,appeals,argue,rhetoric
reply:answer,replied,response,comment,letter,answers,responses,respond,comments,answered
disappear:disappeared,happen,lose,exist,wiped,emerge,forgotten,suffer,forever,forget
frequency:intensity,density,speeds,volume,noise,duration,number,sensitivity,bandwidth,signal
quarterbacks:quarterback,receivers,pitchers,cornerback,receiver,coaches,linebacker
ages:adults,aged,age,olds,adult,younger,children,older,teens,males
communicate:interact,connect,communication,speak,understand,inform,interaction,engage,coordinate,respond
gone:went,go,goes,fallen,come,gotten,done,moved,going,disappeared
testimony:testified,testify,witnesses,witness,arguments,evidence,prosecution,hearing,statements,jurors
intention:intent,intentions,aim,intend,intends,desire,plans,objective,purpose,commitment
communications:communication,telecommunications,wireless,relations,connectivity,networking,marketing,services,affairs
interesting:fascinating,exciting,curious,surprising,entertaining,amazing,weird,strange,odd,important
amazing:incredible,awesome,unbelievable,fantastic,wonderful,remarkable,terrific,great,impressive,extraordinary
going:gonna,coming,want,do,go,really,just,we,doing
b:c,d,i,ie,p,t
generated:generate,generating,created,derived,produced,fueled,attracted,collected,resulting,create
created:create,creating,creates,formed,developed,creation,generated,established,produced,designed
dump:dumped,landfill,pile,garbage,scrap,dig,waste,disposal,trash,buried
recover:recovering,recovered,regain,recovery,stabilize,sustain,rebuild,restore,survive,bounce
plans:plan,planned,intends,planning,proposal,proposals,proposed,wants,intention
prosecution:prosecutors,prosecutor,trial,criminal,witnesses,defendant,sentencing,lawyers,attorneys
issued:issuing,released,issuance,received,obtained,granted,filed,sent,published,submitted
depend:depends,dependent,rely,depending,relies,affect,relying,relied,regardless,vary
slumped:tumbled,fell,plunged,slid,slipped,climbed,surged,dropped,jumped,dipped
laughs:laugh,jokes,funny,laughing,humor,laughed,joke,fun,smile,joked
adding:added,noting,said,adds,referring,noted,says,stressed,explained
dialogue:discussions,talks,discussion,conversation,negotiations,conversations,interaction,cooperation,diplomacy,reconciliation
moderate:conservative,mild,liberal,progressive,severe,slight,modest,conservatives,sustained,low
devastated:devastating,shocked,stunned,battered,affected,destroyed,shattered,rebuild,damaged,overwhelmed
virtually:practically,almost,essentially,seemingly,completely,except,nearly,totally,basically,largely
sent:sending,send,sends,dispatched,delivered,received,returned,submitted,brought,handed
excited:thrilled,pleased,delighted,proud,exciting,happy,glad,enthusiastic,grateful,confident
chased:chasing,drove,chase,attacked,walked,fled,ran,knocked,grabbed,dragged
landfill:recycling,waste,garbage,trash,dump,sewer,plant,cemetery,pollution,disposal
stories:story,tale,experiences,articles,memories,readers,blogs,news,headlines
impressive:remarkable,stellar,amazing,incredible,superb,excellent,stunning,spectacular,terrific,impressed
built:constructed,build,developed,installed,construct,housed,builds,building,operated,established
productivity:efficiency,competitiveness,profitability,automation,wages,productive,output,functionality,innovation,workforce
refer:referred,refers,describe,relate,reference,define,referring,advise,consult,labeled
knows:thinks,understands,loves,know,wants,likes,feels,believes,else,knew
helmet:glove,jersey,motorcycle,jacket,hat,bicycle,uniform,bike,shirt,boots
weird:strange,crazy,scary,funny,bizarre,odd,silly,ridiculous,like,awesome
minimal:substantial,considerable,minimize,significant,limited,minor,modest,slight,no,minimum
could:would,might,may,can,should,will,did,possibly
output:production,exports,consumption,imports,import,export,producing,shipments,productivity
will:can,would,should,must,could,may,expects,continues,intends
sharp:steep,slight,dramatic,sharply,strong,steady,mild,rapid,quick,weak
relax:relaxed,enjoy,sit,adjust,sleep,let,stay,fun,enjoying,comfortable
response:responses,reaction,respond,responding,reply,responded,feedback,react,answer,wake
knees:legs,knee,shoulders,hands,shoulder,elbow,chest,neck,hip,ankle
published:publish,publication,released,journal,printed,article,publishing,written,titled,author
shipments:exports,shipped,shipping,imports,deliveries,export,sales,supplies,orders,imported
difficulties:difficulty,problems,challenges,obstacles,troubles,trouble,problem,delays,woes,pressures
defended:criticized,praised,defend,challenged,defending,blasted,denied,questioned,condemned,insisted
declared:declare,declaring,declaration,ruled,deemed,announced,insisted,confirmed,stated,claimed
steady:solid,constant,stable,consistent,modest,steadily,slow,strong,rapid,continued
look:looks,looking,looked,see,consider,feel,examine,think
pressures:pressure,challenges,demands,difficulties,turmoil,strain,stress,burden,tensions,squeeze
happen:happens,occur,happening,happened,do,come,mean,know,occurring,disappear
we:our,ourselves,you,they,us,really,going
urban:rural,suburbs,neighborhoods,suburban,cities,metro,residential,inner,city
tale:story,stories,novel,epic,drama,romance,adventure,script,fiction
teeth:bones,nose,skin,hair,bone,fingers,ears,dental,mouth,throat
no:any,there,nothing,nobody,none,neither,not,hardly,never
delays:delay,delayed,disruption,difficulties,problems,shortages,failures,postponed,complications,confusion
accomplished:accomplish,achieved,done,accomplishments,successful,achieve,achievement,talented,succeeded,experienced
talk:talking,talked,speak,discuss,discussing,tell,complain,chat,spoke
done:doing,do,accomplished,undertaken,happened,gone,performed,handled,happening,happen
bandwidth:broadband,connectivity,wireless,servers,server,networks,speeds
ridiculous:silly,stupid,crazy,bizarre,weird,unbelievable,unacceptable,horrible,awful,unfair
studying:studied,examining,reviewing,exploring,teaching,discussing,evaluating,taught,graduate,working
sank:plunged,tumbled,fell,slid,sinking,slumped,jumped,slipped,surged,dipped
nothing:anything,something,everything,nobody,no,anybody,never,certainly,not
releases:release,releasing,released,announcements,launches,updates,update,publish,reviews,updated
continued:continues,continuing,continue,began,ongoing,resumed,steady,started,constant
achievement:achievements,accomplishments,achieved,achieving,milestone,feat,successes,success,contribution,excellence
democratic:democracy,constitutional,electoral,constitution,political,elections,peaceful,judiciary,secular
relations:ties,relationship,cooperation,relationships,affairs,friendship,communications,diplomacy,dialogue
collected:collecting,collect,tallied,donated,netted,compiled,distributed,analyzed,counted,generated
tries:try,attempts,trying,attempting,tried,seeks,wants,attempt,fails,attempted
expected:likely,expects,slated,anticipated,expecting,scheduled,predicted,expect,projected,hoped
young:teenage,younger,youth,youngsters,teenagers,talented,aged,older,age,who
praised:hailed,thanked,criticized,credited,defended,praise,emphasized,welcomed,acknowledged,cited
expect:expecting,anticipate,want,expected,expects,intend,predicted,believe,predict,see
plant:plants,factory,factories,refinery,mill,facility,manufacturing,landfill,reactor
rural:urban,farming,towns,villages,agricultural,agriculture,western,farmers,southwest,northeast
continues:continued,continue,continuing,will,begins,intends,tends,remains,expects,does
leg:legs,ankle,knee,elbow,neck,shoulder,wrist,arm,hip,hamstring
shortages:shortage,shortfall,supply,supplies,prices,crisis,demand,difficulties,problems,delays
resulting:resulted,result,subsequent,stemming,causing,due,caused,triggered,coupled
male:female,males,gender,woman,adult,men,women,white,teenage,young
teenage:teen,teenagers,young,teenager,teens,boy,boys,parents,adult,youth
humor:funny,comic,jokes,comedy,laughs,laugh,joke,personality,character,fun
laughing:laugh,laughed,smiling,joke,laughs,crying,jokes,screaming,joked,funny
who:whom,whose,fellow,young,also,veteran,he,former,him
white:black,blue,brown,colored,gray,red,yellow,pink,blacks,color
colored:blue,white,pink,color,brown,red,yellow,orange,colors,black
funny:weird,silly,laugh,joke,laughs,stupid,humor,fun,scary,jokes
exciting:interesting,excited,fantastic,amazing,fascinating,awesome,wonderful,rewarding,entertaining,incredible
ongoing:continuing,continued,continuous,continues,continue,underway,internal,initiated,conducting,prolonged
aging:older,ailing,elderly,newer,retirement,younger,age,obesity,replace,growing
sewer:water,municipal,city,township,county,utility,landfill,pipes,municipalities
constant:continuous,constantly,persistent,steady,frequent,endless,intense,continued,continually,continuously
comfortable:relaxed,uncomfortable,confident,happy,satisfied,nice,safe,comfort,better,supportive
anything:nothing,anybody,something,anyone,not,everything,any,never,nobody
novel:book,fiction,tale,author,sequel,poetry,literature,script,books,film
established:establishing,establish,formed,developed,founded,created,built,recognized,establishment,operated
author:authors,writer,book,researcher,writes,professor,novel,expert,published
blue:red,white,colored,orange,yellow,pink,gray,brown,black,colors
attacked:stabbed,attacking,chased,attack,confronted,raped,killed,raided,punched,beaten
started:began,begun,start,stopped,begin,resumed,went,starting,joined,beginning
services:service,provider,providers,solutions,programs,facilities,systems,products,infrastructure
eliminate:eliminating,reduce,eliminated,minimize,remove,rid,reducing,elimination,avoid,removing
credited:instrumental,praised,attributed,hailed,succeeded,blamed,criticized,assisted,thanked,charged
freed:jailed,rescued,detained,kidnapped,escaped,abducted,sentenced,jail,convicted,prison
surprised:shocked,disappointed,stunned,impressed,surprising,surprise,embarrassed,thrilled,curious,worried
elaborate:specifics,reveal,disclose,details,comment,specific,detail,detailed,declined,unclear
deemed:considered,regarded,proved,declared,labeled,viewed,considers,judged,prove,proving
announcements:announcement,releases,news,updates,speeches,announcing,presentations,statements,developments,remarks
tried:attempted,trying,attempting,try,wanted,attempt,managed,struggled,helped,failed
stopped:stop,stopping,halted,started,resumed,began,stops,prevented,spotted,halt
plan:plans,proposal,strategy,proposals,planned,proposed,planning,scheme
happening:happened,occurring,happen,happens,doing,going,what,done,seeing,coming
knocked:knocking,knock,ripped,smashed,hit,kicked,pulled,struck,chased,bounced
intense:fierce,intensive,intensity,heated,tense,heavy,prolonged,constant,extensive,persistent
professor:researcher,scientist,dean,expert,professors,teaches,economist
blacks:racial,minorities,black,white,racism
sinking:sank,sink,falling,plunge,jumping,collapse,plunged,sliding,dropping,floating
fun:funny,entertaining,nice,awesome,laugh,wonderful,enjoy,exciting,crazy,fantastic
establish:establishing,established,develop,build,maintain,create,define,strengthen,introduce,determine
book:books,novel,author,fiction,poetry,literature,authors,journal,chapter
entertaining:fun,memorable,funny,exciting,interesting,engaging,boring,fascinating,clever,rewarding
extremely:very,incredibly,particularly,highly,pretty,quite,fairly,equally,especially,so
bike:bicycle,bikes,motorcycle,cycling,car,rider,riders,ride,wheels,vehicle
nasty:ugly,bad,bitter,horrible,scary,terrible,dirty,brutal,weird,awful
turmoil:crisis,unrest,troubles,meltdown,chaos,uncertainty,woes,volatility,tensions,downturn
news:press,media,announcements,announcement,reports,headlines,reporters,stories,newspapers
announcement:announcements,announcing,decision,statement,announce,departure,announced,news,remarks,appointment
drama:comedy,romance,episode,tale,starring,film,epic,episodes,movie,documentary
feared:worried,fear,believed,fears,hoped,warned,thought,predicted,afraid,knew
transform:transformed,transformation,develop,create,integrate,incorporate,build,convert,bring,enhance
portrayed:described,viewed,characterized,regarded,labeled,describes,perceived,describing,hailed,referred
assisted:assist,assisting,instrumental,credited,led,helped,assistance,assists,participated,netted
slid:slipped,tumbled,fell,slumped,climbed,plunged,jumped,sliding,dipped,sank
establishing:establish,established,creating,setting,strengthening,forming,maintaining,implementing,securing,expanding
initiated:undertaken,launched,conducted,implemented,conducting,participated,underway,begun,engaged,completed
elbow:knee,shoulder,ankle,wrist,hip,hamstring,thumb,leg,injury
returned:returning,return,arrived,recovered,resumed,left,moved,went,sent,transferred
inform:informed,notify,educate,advise,remind,notified,explain,tell,communicate,warn
shows:show,shown,showed,showing,indicates,reveals,demonstrates,suggests,confirms,highlights
explained:explains,noted,said,explaining,emphasized,stated,says,stressed,told,pointed
plants:plant,factories,gardens,crops,trees,garden,factory,farms,manufacturing
essential:vital,important,crucial,necessary,critical,key,basic,useful,valuable,fundamental
acute:chronic,severe,hospitals,patients,hospital,clinical,serious,suffering,urgent
beloved:loved,legendary,famous,iconic,loving,favorite,famed,faithful,popular,legend
prosecutors:prosecutor,prosecution,investigators,attorneys,authorities,lawyers,jurors
refers:describes,referred,refer,uses,applies,referring,involves,describing,describe,focuses
utilize:utilizing,use,incorporate,provide,integrate,combine,develop,employ,complement,enable
stabbed:stabbing,punched,raped,attacked,murdered,knife,robbed,arrested,gunman,slaying
remarks:comments,speech,statements,statement,speeches,announcement,speaking,testimony,interview
embraced:embrace,endorsed,supported,welcomed,accepted,adopted,recognized,introduced,transformed,celebrated
hospitals:hospital,physicians,doctors,clinics,nurses,patients,healthcare,universities
listening:listen,listened,hear,watching,talking,heard,recording,reading,ears,music
prevented:prevent,preventing,barred,avoided,resulted,stopped,prohibited,kept,avoid,without
unbelievable:incredible,amazing,awesome,fantastic,great,terrific,awful,tremendous,wonderful,horrible
slaying:murder,murders,killings,killing,slain,stabbing,murdered,shootings,homicide,kidnapping
strain:burden,strained,stress,pressure,pressures,pain,virus,outbreak,sore,tension
comparing:compare,comparison,compares,comparable,evaluating,compared,measuring,examining,evaluate,analyzed
trouble:difficulty,problems,difficulties,troubles,problem,danger,woes,mess,bother,worry
motorcycle:bike,bicycle,car,vehicle,bikes,automobile,truck,vehicles,motor
explaining:explain,explained,explains,describing,stating,understand,telling,explanation,noting,understood
gives:provides,give,gave,allows,giving,brings,lets,offers,makes,helps
hair:skin,makeup,teeth,clothes,pants,dress,shirt,nose,ears,throat
vehicles:cars,vehicle,trucks,car,buses,truck,bikes,automobile
comparable:compared,comparison,compares,compare,comparing,same,similar,versus,decreased,identical
gonna:going,em,maybe,guys,want
poured:pumped,turned,tossed,rolled,flowing,dumped,pumping,pushed,flooded,jumped
suburban:suburb,suburbs,urban,metro,neighborhood,inner,neighborhoods,southwest,rural
film:movie,films,movies,cinema,documentary,script,sequel,filming,actor
continuing:continued,ongoing,continue,continues,continuous,beginning,conducting,renewed,constant
he:him,his,she,himself,nobody,it,never,somebody
affects:affecting,affect,affected,impacts,hurts,impacted,occurs,applies,threatens,improves
begun:began,started,begin,resumed,underway,initiated,begins,stopped,continued,beginning
dirty:clean,nasty,wash,ugly,stupid,bad,dirt,bloody,boring,dangerous
declaration:declare,declaring,declared,document,statement,accord,pledge,letter,ruling,statements
inner:suburbs,urban,suburban,soul,spiritual,neighborhoods,self,neighborhood,dreams,emotions
consistent:consistency,solid,consistently,balanced,strong,steady,accurate,reliable,stable,robust
recommend:recommended,recommends,consider,advise,propose,recommendation,consult,recommendations,urge,require
incredible:amazing,unbelievable,awesome,fantastic,tremendous,extraordinary,remarkable,great,terrific,enormous
subject:topic,concerning,relating,subjects,subjected,regarding,applicable,required,topics,involve
assistance:aid,support,assist,help,grants,assisting,counseling,shelter,relief,services
chaos:turmoil,confusion,panic,unrest,mess,disruption,nightmare,uncertainty,crisis,meltdown
incredibly:extremely,very,pretty,quite,equally,fairly,so,highly,really,particularly
criminals:offenders,crimes,terrorists,crime,gangs,extremists,criminal,cops,gang,suspects
developing:develop,developed,development,creating,producing,designing,implementing,emerging,establishing,expanding
racism:racist,racial,discrimination,bias,blacks,hate,violence,corruption,religion
designed:intended,aims,meant,used,created,constructed,developed,helps,aiming,equipped
racist:racism,racial,hate,stupid,blacks,violent,abusive,discrimination,inappropriate
investigators:detectives,investigator,prosecutors,authorities,investigation,investigating
undertaken:initiated,conducted,undertake,conducting,completed,done,carried,implemented,underway,commissioned
filming:filmed,film,movie,premiere,studio,scenes,touring,documentary,starring,actor
crisis:turmoil,meltdown,recession,downturn,woes,troubles,slowdown,unrest,situation
receiver:receivers,cornerback,quarterback,linebacker,quarterbacks,receptions,touchdown,catcher
curb:stem,reduce,prevent,restrict,halt,stop,minimize,limit,regulate,spur
harder:easier,tougher,hard,difficult,better,quicker,stronger,tough,impossible,worse
received:receiving,receive,receives,given,gotten,awarded,gave,issued,sent,earned
racial:racism,racist,blacks,ethnic,gender,minorities,religion,discrimination,black
expects:intends,anticipates,expected,predicts,expect,wants,will,predicted,believes,sees
residents:citizens,locals,resident,homeowners,neighbors,people,communities,neighborhoods,municipalities
juvenile:adult,teen,offenders,inmate,probation,teenage,jail,teens,detention,males
commissioned:conducted,undertaken,hired,survey,funded,unveiled,released,published,appointed,launched
recognition:recognized,recognizing,recognize,recognizes,acceptance,honor,award,honors,praise,awards
grants:grant,funding,scholarships,funds,funded,assistance,programs,projects,aid,allocated
manage:managing,handle,managed,manages,analyze,oversee,efficiently,execute,integrate,monitor
visible:evident,obvious,clear,noticed,seen,significant,invisible,apparent,detected,accessible
