150
27 907
9 27 93
102 0 279
95 16 162
56 18 164
13 18 294
20 93 294
59 63 294
35 70 294
104 0 294
27 0 136
85 0 119
89 194 294
65 28 137
15 47 294
10 131 294
73 115 294
39 10 294
6 138 294
45 147 294
83 0 230
76 93 294
18 164 294
33 78 294
22 0 209
51 130 294
69 0 292
91 0 279
3 65 236
41 963
12 676 963
15 112 610
69 354 963
3 159 963
1 88 418
4 0 833
24 380 728
63 480 744
38 272 963
61 271 870
24 36 347
55 118 963
47 330 963
71 0 739
18 32 737
14 0 839
48 0 963
9 0 518
57 354 886
11 0 963
35 0 833
20 79 963
45 645 922
41 201 963
29 157 963
60 0 518
59 180 963
32 280 963
31 0 810
64 34 963
36 101 956
5 0 472
68 0 459
37 89 963
51 0 920
40 0 658
65 0 617
8 138 886
23 0 877
19 0 855
58 97 963
39 644
7 340 615
31 0 581
56 225 644
81 0 414
59 51 456
26 243 644
63 17 644
47 118 644
80 47 390
50 0 574
61 291 644
93 12 644
49 114 644
57 79 248
78 55 644
12 0 584
44 199 644
25 0 597
67 183 644
20 0 571
37 164 644
55 126 409
28 81 644
22 131 348
16 116 644
48 0 438
32 0 479
39 327 597
39 87 271
18 0 469
2 287 644
69 119 644
72 197 644
84 0 511
74 0 456
76 239 543
52 0 513
1 0 563
87 0 468
18 266
34 0 250
23 47 266
38 0 216
46 0 171
40 30 204
19 0 99
36 0 174
21 0 205
39 0 152
43 0 216
24 58 266
7 0 260
11 43 266
44 195 253
6 13 266
45 0 251
41 27 165
31 1 266
43 177
95 0 83
10 0 155
62 80 177
6 0 105
118 50 105
3 63 177
50 0 100
9 0 112
115 0 52
13 0 116
76 43 177
79 0 80
94 44 150
37 5 177
114 0 140
74 68 177
87 0 110
77 0 113
35 0 136
52 21 177
92 29 177
12 15 177
28 44 177
42 57 95
20 0 100
111 52 177
121 29 177
53 65 143
58 0 69
91 45 177
54 5 177
120 41 177
69 60 177
73 0 133
106 0 74
103 8 177
22 73 167
96 66 177
89 33 177
0 102 177
105 4 177
65 0 174
112 0 158
41 90
50 5 70
68 13 90
102 17 90
53 0 60
10 12 76
60 0 66
21 7 90
7 0 65
72 3 90
30 46 90
34 0 60
59 31 90
38 0 86
121 0 50
118 35 79
81 30 64
71 0 68
25 0 73
65 48 90
107 0 53
66 2 90
13 0 51
119 48 71
31 12 90
39 60 90
92 0 90
9 9 90
63 14 90
22 0 86
64 0 82
80 0 86
69 0 31
110 37 90
5 9 90
61 19 51
17 43 90
32 12 90
12 19 61
35 28 71
117 0 53
1 0 26
1 707
75 125 515
34 713
34 0 659
2 326 713
54 0 373
1 0 351
13 68 713
5 373 713
19 94 713
35 128 713
21 5 713
45 346 713
28 0 503
20 0 693
43 0 607
30 18 213
44 210 401
24 0 506
12 58 713
25 23 302
15 0 685
57 122 713
39 0 462
32 0 633
11 0 632
16 0 255
22 0 632
26 182 713
38 0 207
17 271 713
36 448 713
31 32 713
41 0 632
58 0 698
29 0 362
16 279 713
45 321
33 3 321
53 0 214
32 89 321
71 188 300
8 3 221
13 184 321
60 0 259
7 0 142
12 74 308
20 26 291
28 117 321
30 0 222
21 34 321
50 0 105
47 0 194
10 59 321
51 108 321
85 66 321
44 167 321
27 71 214
81 46 321
62 87 321
35 67 321
18 118 321
19 165 321
66 0 255
26 0 113
29 0 198
24 0 251
0 4 181
63 0 292
3 0 311
69 0 147
72 0 214
88 98 321
36 0 182
57 41 321
2 0 147
4 41 321
19 43 148
87 55 160
43 0 321
65 83 321
45 0 232
76 0 179
26 990
55 154 668
16 284 770
92 51 990
125 0 443
50 0 909
47 372 990
25 0 328
83 234 990
118 320 671
113 0 300
43 430 990
61 0 917
114 285 778
65 234 681
45 96 637
115 0 830
18 0 683
81 0 489
127 703 923
28 0 598
101 0 663
19 106 990
53 0 529
75 581 897
110 0 768
82 0 536
2 201
8 12 201
10 116 172
29 197
79 0 99
18 45 197
49 0 150
60 69 144
36 30 197
17 23 110
93 0 163
42 83 197
23 0 151
69 22 68
74 0 132
1 98 197
33 137 197
40 3 106
70 0 163
61 0 177
0 60 135
89 0 110
28 27 197
78 0 186
72 0 197
99 117 197
3 137 197
76 27 197
5 0 178
9 0 105
43 0 103
15 0 128
35 10 197
24 815
34 0 744
74 221 599
78 22 293
61 164 815
75 0 815
27 464 815
7 163 815
66 205 702
12 171 815
68 0 692
49 0 668
76 0 539
63 0 814
19 136 310
67 0 471
62 0 639
46 277 718
28 49 245
45 0 744
18 5 763
31 0 674
54 0 716
20 5 815
30 0 734
4 14
34 5 13
17 0 8
41 4 9
8 6 14
37 695
52 57 695
56 0 283
36 0 684
53 0 551
41 330 695
0 0 539
34 0 524
20 340 695
45 370 693
16 43 437
48 173 695
50 46 695
22 236 695
57 71 695
11 0 384
8 207 695
5 205 695
19 159 695
33 135 695
12 24 695
49 0 603
9 234 695
51 0 623
3 175 695
35 107 695
24 0 581
31 96 695
26 144 695
46 326 695
42 0 426
58 0 352
6 0 478
55 0 244
43 125 351
32 365 695
21 0 515
2 65 285
2 392
10 77 215
41 25 332
34 513
12 42 513
72 252 513
70 194 513
44 0 364
9 118 395
90 0 286
63 0 363
27 0 401
52 7 513
3 0 272
76 0 241
36 0 456
6 3 513
57 306 513
64 0 399
55 0 369
45 48 393
58 0 361
31 130 513
59 0 277
16 230 449
75 137 513
39 31 201
28 21 425
23 0 334
42 0 492
88 0 498
11 0 216
47 0 419
22 0 261
86 0 362
2 71 513
49 0 488
7 223 401
13 839
53 0 743
49 0 774
13 149 440
65 330 839
43 0 434
36 360 650
58 72 666
15 16 839
82 237 839
0 480 754
11 0 367
21 0 677
62 99 839
39 549
8 33 545
54 256 549
55 0 408
6 0 366
47 0 394
22 11 549
21 0 319
56 125 271
59 346 549
36 0 549
64 0 392
16 125 508
3 187 549
18 126 549
62 72 549
61 46 549
65 0 476
35 0 351
19 186 549
5 0 503
44 0 340
63 124 549
33 0 449
26 157 549
14 103 460
50 339 549
40 132 243
30 83 549
10 18 549
53 0 492
39 101 285
17 0 341
60 70 471
1 20 201
4 253 549
9 31 549
15 131 549
2 62 229
11 0 408
36 992
109 52 992
10 0 714
123 582 992
51 0 855
18 0 665
5 106 992
124 243 992
55 281 683
90 0 835
115 245 992
34 194 992
89 0 967
79 421 992
107 0 481
2 292 786
75 0 350
87 148 779
1 0 815
49 0 494
35 0 540
63 324 992
42 250 949
105 5 992
66 0 971
19 0 893
23 61 992
94 0 826
4 0 825
98 0 960
40 0 519
76 0 618
121 0 958
69 24 992
33 0 871
118 0 905
45 0 967
43 233
74 9 233
52 16 233
5 0 222
6 0 162
76 0 182
34 118 233
38 0 222
27 0 196
56 105 233
77 39 233
75 56 233
46 0 233
81 0 178
82 132 233
22 54 103
8 84 150
51 104 233
36 0 111
13 0 200
65 67 233
32 33 233
69 0 163
66 10 233
44 15 233
31 3 233
10 0 83
58 35 233
68 15 233
17 0 117
35 167 233
41 0 215
11 114 233
87 47 233
9 30 233
80 73 233
3 0 127
49 5 232
67 59 233
48 0 156
39 26 233
15 6 233
23 28 233
72 77 233
37 566
32 0 564
35 0 488
12 264 402
56 120 566
28 13 566
46 306 566
58 52 429
27 67 341
77 218 566
4 0 287
42 0 323
72 194 566
81 126 566
37 12 566
41 0 392
88 47 566
33 58 566
2 6 135
19 0 510
8 0 560
86 13 242
9 216 566
67 303 423
44 95 566
15 37 566
21 167 566
54 125 523
76 34 566
36 79 566
40 0 537
62 0 215
64 0 480
60 0 418
57 31 566
63 368 529
23 0 279
7 159 566
30 481
115 0 322
118 152 262
17 0 326
111 154 481
45 0 229
94 0 360
101 223 481
72 265 481
55 0 129
54 125 467
10 0 371
87 0 439
59 60 481
13 84 211
38 320 481
102 59 233
51 316 481
23 271 481
2 0 284
64 0 451
31 0 481
74 0 465
36 50 481
37 0 435
76 0 312
50 0 407
57 0 402
109 228 481
33 112 425
61 166 481
45 611
60 42 611
84 0 531
64 4 611
52 43 611
15 0 473
92 122 611
95 244 579
77 110 611
82 215 611
49 29 345
65 34 611
69 0 322
12 186 611
27 0 414
113 0 410
19 234 611
54 0 515
76 0 579
2 0 403
72 0 411
97 34 365
51 0 474
116 0 584
8 0 600
56 180 472
36 419 611
53 89 392
101 0 582
83 0 602
85 0 571
5 40 611
106 58 611
10 156 611
11 170 611
115 59 611
62 281 611
61 135 293
90 0 425
9 136 272
6 0 486
42 0 468
29 242 611
1 155 611
66 357 611
18 0 329
40 506
30 0 403
4 0 491
42 8 506
29 69 506
26 0 274
28 33 506
44 0 329
0 19 247
24 0 337
45 0 501
1 143 471
35 0 238
23 0 480
11 0 293
19 0 227
8 162 363
2 46 465
43 0 490
52 113 506
46 0 265
50 63 506
40 0 449
20 25 506
16 68 366
32 0 379
19 230 506
27 48 506
6 0 380
13 53 439
14 0 203
49 65 506
5 0 506
18 81 506
47 0 475
37 241 488
15 143 506
10 213 356
21 46 506
31 60 506
3 81 506
49 59
0 7 59
44 15 32
46 34 59
40 27 59
4 14 59
41 0 57
16 43 59
42 0 34
6 0 22
47 22 59
26 0 38
55 0 55
30 1 59
27 0 54
1 18 59
29 0 57
57 33 59
53 4 59
65 0 56
32 0 47
58 30 59
22 0 41
62 11 59
49 29 59
15 0 51
43 0 45
45 6 59
9 17 59
56 23 59
60 27 59
8 0 24
38 20 59
34 22 55
5 18 48
67 0 55
18 1 55
20 32 59
24 25 59
23 0 51
31 6 25
6 24 59
52 0 33
54 0 58
14 6 59
61 0 37
16 26 38
66 0 50
2 0 54
21 8 59
8 399
34 237 399
64 0 203
11 56 399
58 283 392
12 203 399
47 108 399
28 50 399
50 118 399
25 194
28 0 89
59 0 75
12 0 160
39 62 194
101 95 194
11 0 178
17 36 163
40 0 187
46 0 190
61 135 190
43 0 149
88 0 103
67 0 132
96 50 194
19 0 169
57 0 169
81 0 187
32 0 145
51 63 194
76 0 95
41 11 194
5 7 110
83 3 194
86 0 84
78 0 191
43 306
42 158 283
56 59 306
65 0 271
66 0 183
50 47 306
8 4 270
88 55 306
55 0 237
29 125 306
25 7 306
46 0 148
80 0 240
28 0 259
30 45 306
62 216 306
53 113 306
77 10 306
82 0 122
70 0 219
89 123 306
61 208 306
6 0 292
14 36 99
87 0 270
15 0 185
17 199 306
12 58 306
58 180 306
34 51 306
10 75 306
63 0 284
3 76 306
4 34 113
2 15 306
68 27 306
71 0 283
38 62 246
22 0 174
32 142 306
72 18 165
43 167 306
48 0 221
24 101 306
20 350
8 0 262
14 0 95
46 1 350
37 22 350
25 0 250
65 210 350
60 0 321
56 56 350
12 0 317
26 135 350
16 50 350
49 0 147
18 60 350
39 171 253
41 264 340
58 82 350
61 26 191
42 116 350
24 94 244
54 25 107
4 382
39 108 359
83 0 367
38 0 265
60 0 378
17 95
70 0 50
30 0 56
68 15 95
22 41 95
18 0 93
60 0 44
29 0 71
3 45 95
8 0 92
15 0 78
17 3 27
71 0 30
25 3 95
42 7 95
71 54 95
33 0 82
11 23 95
12 680
65 318 680
10 255 680
2 168 680
31 83 680
38 217 680
62 80 680
13 271 528
14 97 324
72 435 621
78 151 391
48 0 680
70 0 553
33 136
124 62 115
25 35 136
96 38 136
21 56 136
55 0 119
115 46 136
57 0 113
112 0 42
90 0 127
46 0 127
108 0 132
60 0 87
125 0 89
100 31 136
122 78 136
2 99 136
28 71 136
35 3 55
78 0 110
19 0 108
74 39 136
83 0 124
18 0 84
84 18 136
42 0 133
9 0 118
139 0 132
137 0 106
89 13 112
61 0 114
104 0 131
68 0 100
11 0 43
10 343
6 31 343
5 1 343
1 0 270
3 43 343
28 0 315
19 0 312
10 0 172
27 11 343
11 0 148
8 0 276
6 683
49 0 352
26 65 683
41 0 581
54 156 683
18 5 683
17 0 389
36 471
63 51 239
39 129 471
112 61 415
5 0 299
93 0 363
54 19 471
24 121 471
26 0 470
85 0 355
47 77 369
106 28 471
67 246 471
78 0 305
66 0 447
58 0 339
36 67 471
31 162 471
100 26 471
107 0 343
27 0 342
38 365 468
50 0 216
83 183 471
108 0 165
7 0 439
18 0 353
43 263 471
12 65 471
48 216 471
21 186 307
71 79 312
14 154 471
29 212 321
17 120 439
87 0 313
108 282 471
47 421
22 0 405
48 6 253
45 202 421
19 14 421
33 0 161
34 215 421
3 131 421
34 0 165
56 193 421
31 163 421
58 50 421
53 10 421
10 0 130
6 90 421
54 215 421
16 35 421
46 23 421
40 43 421
41 0 234
4 54 421
11 145 421
9 0 339
44 58 421
32 4 181
13 0 390
24 209 421
21 275 421
51 0 230
1 158 385
23 71 187
7 58 386
18 0 288
12 0 136
37 0 370
42 224 421
30 89 421
27 0 413
57 21 421
39 37 187
20 0 268
17 0 250
36 58 264
2 265 421
26 0 191
0 27 421
25 0 421
8 18 421
1 381
44 0 219
24 986
48 0 911
27 0 631
42 384 728
36 0 428
40 143 986
2 392 986
33 0 827
32 70 986
45 573 986
9 0 923
43 148 972
22 0 467
34 0 802
38 371 986
15 0 608
46 160 986
11 188 986
25 0 946
51 171 986
29 106 775
10 379 986
23 69 986
30 356 841
52 0 846
8 71
14 6 71
40 0 66
38 8 49
64 33 71
23 12 71
42 23 71
26 18 64
10 13 71
41 775
62 0 218
14 114 775
9 0 502
4 0 642
10 64 775
6 382 775
56 280 775
59 0 574
78 0 516
38 412 775
41 0 623
33 0 629
54 1 602
62 375 775
50 0 671
43 18 502
16 0 422
51 0 666
48 0 396
47 209 775
44 0 633
40 0 440
13 0 608
20 0 654
72 401 775
73 497 775
18 0 240
58 0 615
26 0 381
3 0 318
55 0 288
45 81 378
80 0 362
19 128 775
23 0 707
2 0 259
64 222 775
24 0 698
68 398 775
42 280 775
61 0 739
46 835
51 547 835
10 0 712
1 58 835
41 480 835
42 0 835
5 0 341
39 11 758
36 0 283
33 0 757
66 180 835
23 224 835
11 590 835
55 40 835
59 126 835
38 141 835
36 295 835
15 0 715
50 0 577
74 158 835
18 227 835
34 0 388
28 0 401
27 126 835
32 55 835
72 321 835
71 477 835
60 158 835
63 0 371
14 0 497
49 167 835
21 153 835
25 309 835
0 30 835
26 432 835
45 0 702
53 0 436
64 203 835
68 0 294
43 0 681
7 0 784
65 0 647
48 0 783
6 139 835
35 0 724
2 0 573
31 16 736
1 1
0 0 1
35 887
57 196 887
59 16 887
29 0 658
74 51 812
22 107 887
82 0 448
105 62 887
26 0 757
50 0 696
13 0 782
17 0 847
64 322 887
37 522 887
91 533 822
36 0 521
11 56 887
34 349 887
70 0 772
71 545 887
108 133 887
3 147 887
32 0 833
89 0 821
21 0 681
87 87 887
