350
47 790
11 10 151444
37 18 167987
29 14 96377
27 35 93479
28 37 150879
46 19 176386
42 47 122393
14 3 62221
9 42 119948
12 43 52449
33 16 125748
33 36 135699
47 19 71973
20 36 75404
32 46 143609
16 3 96150
8 23 108565
41 22 64659
4 45 72789
17 33 87727
38 23 103470
2 17 146747
12 34 119292
21 3 133378
40 10 201266
24 36 57726
19 43 114411
13 29 110827
24 29 127371
25 45 94693
9 41 153584
34 23 76400
32 4 90495
16 21 136337
46 25 138811
40 8 90112
35 8 70714
21 5 83446
12 7 90909
16 47 157020
6 36 132972
39 29 126363
42 10 127081
1 34 134950
13 42 65395
18 34 100339
34 6 88544
11 31 116023
12 11 118533
38 22 13981
11 35 66763
23 22 89489
40 24 135902
25 8 74879
42 30 67257
30 25 41340
38 25 51532
2 33 79181
41 29 134847
3 17 67809
9 31 189713
28 12 35581
12 1 149704
22 44 164599
17 31 82020
24 35 110363
43 44 174819
22 39 66960
28 16 92287
34 22 23479
17 14 55358
45 9 175797
14 47 123373
26 6 61238
13 9 89151
7 3 86538
5 13 101480
2 30 113361
11 30 32597
15 27 143562
46 7 124480
35 41 1533
36 39 134883
43 47 99296
33 45 128534
31 14 86112
42 2 90899
7 36 31097
20 29 129769
19 41 84056
17 36 110990
12 20 115046
31 7 110647
46 38 176217
42 12 143193
26 24 95866
25 9 112887
38 8 97459
41 16 132130
33 12 159491
16 36 94727
24 22 78491
31 42 101286
19 15 44862
2 13 118473
12 4 127144
23 44 149813
30 22 45660
25 3 100869
33 31 118481
33 41 121692
41 18 157223
9 16 69977
13 41 95352
18 22 123818
31 35 133389
27 17 70148
17 25 94224
30 34 55392
5 27 101140
40 22 147132
20 16 67321
1 23 108992
40 28 120241
4 42 72577
46 33 205703
24 41 111896
42 35 32103
43 5 44453
46 4 160715
14 43 111416
22 21 148139
36 1 125912
23 20 92324
36 41 116364
2 25 96811
28 25 102390
22 45 57162
46 2 216865
20 22 57031
13 34 38468
30 35 99360
42 39 80287
16 35 130597
35 25 69403
26 36 133353
1 7 106567
31 12 88055
19 4 52720
1 20 115424
31 37 129946
33 30 94511
10 14 170062
46 23 172515
9 38 137995
15 21 168883
16 29 82305
47 17 125276
19 42 50420
28 41 148207
5 29 29414
8 44 86840
4 14 63979
23 31 143144
37 25 81700
1 40 136131
42 36 98949
6 20 109565
43 3 94385
33 35 120159
28 39 165885
23 37 128996
25 16 77961
37 19 7076
27 14 19956
5 15 142206
36 4 67332
12 30 96631
12 36 109331
22 17 103710
15 18 189829
10 4 123114
37 29 106448
47 36 94646
4 24 62864
44 11 152758
38 36 96963
11 25 62125
25 40 123650
28 4 122337
24 28 95198
36 5 122492
20 5 135702
34 41 56891
35 4 47499
46 17 147935
7 4 36235
42 24 81939
20 41 64809
40 36 159860
5 47 54843
30 37 89829
3 8 35888
21 28 49037
7 6 103697
37 7 96031
6 29 110983
29 32 66652
21 32 120684
43 31 138100
3 37 66685
31 3 98563
41 11 68296
25 13 24416
34 33 143000
41 40 117672
6 22 65065
36 13 41182
38 5 128576
25 14 44032
13 30 17604
4 16 97626
29 10 192933
20 35 63276
7 9 98556
11 28 88263
25 36 45428
25 24 40960
23 45 95585
47 41 139680
3 10 162844
14 13 20296
30 19 82753
31 32 56387
9 46 203546
3 20 92121
19 21 146715
18 20 96102
32 3 42176
1 9 185633
44 14 122853
46 13 114395
10 6 131207
21 39 116848
32 28 88083
32 7 54260
24 44 153847
46 16 147813
27 45 118769
44 35 157554
32 6 53013
8 20 69405
44 5 172780
33 44 50608
18 39 144592
10 35 159184
47 15 87343
27 18 62211
23 29 161983
33 28 150177
11 23 95811
3 18 139004
38 29 122484
47 6 99945
37 6 35048
22 1 130384
7 47 125743
20 47 115745
23 17 127910
13 35 93819
5 40 46586
33 29 128746
42 16 98494
19 5 115571
39 16 120997
7 23 48017
45 36 112505
6 42 78392
35 46 158069
44 21 177069
23 33 118779
12 38 156272
26 5 93550
28 23 90670
27 23 57762
5 41 111487
28 17 113716
8 18 112334
7 22 51883
4 3 101464
44 30 125545
19 29 99372
21 31 101521
11 1 111937
5 17 70433
11 6 112643
34 38 37460
40 33 128368
33 15 120604
7 41 85267
5 9 103095
1 41 118283
20 10 154931
40 31 122047
38 18 137799
5 30 115491
5 14 118183
40 9 135110
32 1 52307
40 16 65133
39 4 82587
4 34 7852
18 6 159062
19 34 60572
12 23 126251
21 46 160948
5 16 111719
9 23 146573
16 22 81999
29 44 159803
30 31 88804
44 38 150618
27 42 65735
23 6 149892
14 8 36013
47 23 77726
33 38 128346
11 24 54253
45 16 139161
27 9 88811
47 35 138147
12 35 111090
1 44 40821
41 44 159087
43 18 162056
34 42 67573
16 17 44685
35 39 112390
22 26 70359
30 29 99069
44 28 181211
11 18 99580
27 37 105776
40 15 161406
6 9 115603
17 24 86352
10 24 165835
25 1 120898
40 21 71204
29 11 126282
7 30 27009
4 22 15627
40 37 123620
46 10 253047
14 11 29905
42 29 111551
26 7 103929
20 38 71012
32 43 81691
27 31 100902
47 9 157938
9 34 126939
1 19 95447
15 46 221248
44 18 199174
3 23 134555
11 46 143789
11 32 59630
36 37 112076
45 46 209032
11 9 85288
26 41 117322
6 3 31637
40 2 132923
9 22 145806
11 39 91376
26 28 169284
14 45 105514
26 20 91491
43 40 32211
9 26 136125
46 3 176105
27 32 44515
12 2 140916
19 20 81593
44 20 156245
22 27 61607
30 27 17264
41 30 100903
15 8 105057
3 15 104471
24 6 113732
23 13 58102
3 41 55498
2 41 124535
27 10 154967
44 2 110215
11 20 3487
28 6 141096
23 15 165069
35 19 82523
2 32 121114
6 45 110570
10 17 180818
21 23 139707
31 1 108694
18 28 140525
22 36 82959
47 13 135847
29 28 103069
47 40 101429
40 44 176952
27 34 38128
42 11 34660
21 12 13456
41 37 78716
42 46 125966
44 42 125472
12 27 81164
2 39 10612
17 1 77940
10 22 138718
3 9 147240
28 9 162264
2 24 103079
45 18 180980
28 8 94371
27 29 111174
44 26 103002
24 31 117106
20 45 114193
12 24 64280
22 42 87513
6 41 65270
45 40 119288
15 41 116366
17 11 85263
43 33 143785
2 9 143338
47 39 42106
9 21 175343
27 7 9745
27 33 106609
18 12 109607
22 47 75021
26 29 122964
46 1 195916
45 28 163872
34 32 82643
2 10 77182
43 35 131982
26 10 69969
7 20 44307
27 26 112750
1 13 96482
19 13 99063
22 12 142291
30 28 61050
28 5 132483
47 37 79049
47 45 17859
17 9 114662
34 7 28383
38 47 89002
10 15 112719
4 9 130179
47 4 90648
15 36 149862
25 19 74624
5 1 131943
10 47 108676
43 26 138003
40 42 128723
43 16 97344
10 43 207984
39 14 115312
23 19 121920
32 36 85357
46 20 147276
43 37 121487
1 15 110817
3 40 62174
21 43 38993
31 25 124978
16 26 124396
41 43 133515
13 16 54225
5 35 109927
30 4 61287
2 4 93228
38 27 75588
40 20 132454
16 23 111647
14 6 82738
34 2 101051
16 2 131609
34 45 80641
3 11 88634
22 13 61947
35 3 53965
38 40 133151
23 5 132571
14 12 93939
38 31 148445
13 21 86872
1 28 140390
46 26 209670
35 36 114831
19 40 116544
40 7 128763
12 40 84660
1 42 84630
16 10 136133
14 42 64565
34 25 14052
15 17 136983
29 15 144234
39 33 75367
19 14 85445
29 2 115751
29 34 120530
17 44 118761
16 38 68018
11 36 78891
44 46 206071
33 3 66194
37 22 44169
15 2 55849
35 7 83734
45 3 78933
26 11 87977
18 26 141193
39 7 107328
9 18 151022
45 5 72702
21 7 96277
44 19 127506
19 12 160171
28 2 169027
7 38 65843
44 10 172971
32 39 110502
2 11 80764
43 20 131052
38 19 23112
9 14 103906
14 22 48352
21 37 153791
6 17 78646
1 30 84724
21 34 124660
32 23 102277
28 27 78314
37 45 95720
26 4 85986
38 26 56378
22 29 136465
27 25 24076
11 19 85080
43 7 107124
4 11 44891
19 17 106269
23 26 116433
2 7 111142
20 31 119504
33 42 94417
25 22 37531
26 37 40342
20 17 88750
39 17 136135
47 24 134573
23 18 119973
26 21 120247
4 5 98968
46 22 162236
18 32 106046
10 34 130943
8 27 50803
31 13 100562
38 35 77107
36 28 73750
20 37 88669
11 45 117680
32 15 111345
35 21 97634
15 38 67974
35 1 116733
25 4 21904
30 200
1 10 275840
20 27 169231
26 11 221453
29 26 112669
13 23 181270
29 15 203057
2 4 37521
23 8 131581
21 3 104879
15 2 192176
21 5 209535
30 18 224263
29 3 145147
15 4 219402
4 16 202470
16 21 157956
7 1 295066
5 3 104656
21 8 108316
8 6 201051
6 5 247171
11 5 130191
9 4 55909
2 27 75344
5 16 86085
3 6 179805
22 24 295082
14 1 207041
6 10 202700
16 29 137527
21 27 138695
2 1 254451
6 11 377362
15 19 121848
27 19 136670
17 29 125194
10 30 265755
28 25 53401
2 23 177889
17 30 138169
24 1 227643
5 8 120573
27 11 147949
21 30 223095
28 17 88086
28 10 137247
29 25 120951
17 4 170074
4 28 143742
18 8 133885
2 13 38096
12 11 296633
27 9 93732
14 12 78806
4 14 76715
16 3 142775
2 6 262230
29 4 211292
8 9 144646
23 19 84492
9 3 88877
11 29 246376
27 1 179107
25 22 180257
23 4 140368
17 6 177661
19 14 20839
18 9 68499
22 6 190994
21 22 197036
8 27 50914
17 8 60916
21 12 89874
24 17 194309
11 23 154174
7 6 267648
20 12 159332
3 20 97546
14 5 87636
19 13 141542
30 15 280375
22 2 233077
4 13 75617
10 12 199839
30 16 65139
14 13 152332
6 4 273540
16 27 120393
14 23 63653
30 24 249145
23 1 203415
8 13 164354
11 21 286644
15 16 215236
3 2 107265
27 22 157733
23 25 198638
15 11 307308
22 18 277844
26 14 141108
16 26 89325
8 14 96487
26 3 158128
29 9 192159
12 1 251807
25 24 114825
25 6 253954
30 1 206452
16 9 214125
29 10 69697
10 27 168124
9 5 193533
25 12 179751
17 12 174800
18 11 223012
16 2 195737
5 22 270955
3 19 3819
13 16 233833
15 18 105289
29 7 215965
7 25 95014
30 29 202666
11 10 244722
23 22 257188
13 12 207147
5 24 149916
15 28 235885
16 8 69479
9 15 173788
7 8 168452
10 21 109965
25 16 142917
21 23 185552
30 4 267609
7 27 117538
23 16 62102
30 7 270701
6 29 133003
17 14 157403
11 22 263415
26 30 154464
10 18 194466
4 11 215766
21 29 40268
14 25 134985
30 20 113977
12 6 182609
23 27 182495
6 20 246671
7 2 42194
18 25 97587
17 27 57209
1 16 141313
28 2 106221
1 17 121898
8 15 239174
28 13 144317
20 15 215575
1 18 202761
16 22 195086
7 21 176806
19 29 141328
2 12 169051
9 24 43617
7 19 108864
16 17 73030
16 28 127394
17 9 150941
23 15 153134
7 13 80290
22 15 261048
23 9 169550
24 4 99526
20 17 121868
8 11 198863
30 3 207914
1 29 206143
7 4 79715
8 26 44621
28 27 30877
25 3 117965
25 13 90916
9 21 153000
25 9 71208
21 14 121899
4 8 163779
26 12 191095
13 18 124983
8 20 118317
26 24 203388
13 26 186944
28 9 124609
10 13 281564
12 8 175293
17 23 135132
3 14 17020
17 25 79733
25 27 22524
27 29 98427
39 373
3 30 112277
28 9 270086
33 3 172893
8 23 216103
29 9 260314
1 7 150741
26 16 110715
35 7 53711
25 36 95818
28 39 214975
5 29 120256
20 39 201122
35 30 96371
11 31 226816
12 38 182857
24 4 37236
28 27 233092
14 13 165766
12 23 257365
30 22 157852
3 23 222167
4 1 91235
28 7 202162
27 7 178369
21 10 109170
38 10 59804
36 3 137196
12 3 234950
17 4 36808
27 35 158478
37 21 26776
4 30 24867
21 12 112199
6 7 166652
32 4 144272
33 6 68556
8 16 23867
39 29 195469
14 1 142173
2 35 140581
7 16 147516
11 28 108629
10 5 135182
9 24 216369
30 8 55648
19 3 172001
39 13 265066
5 13 219844
9 34 242272
16 37 63213
28 12 167580
31 2 345981
2 15 187099
34 23 219758
33 25 67437
28 38 124792
3 9 169646
35 34 105642
15 8 125310
17 32 177190
15 30 134480
4 21 35341
8 25 73183
37 38 76486
26 33 101448
35 16 93805
27 6 118979
32 10 144819
22 38 140857
32 30 119405
14 26 151820
21 20 103669
15 25 138071
6 21 114452
34 6 89660
18 37 40719
35 1 130850
4 38 85051
31 9 227670
1 11 142993
27 8 145440
37 2 96894
25 21 16597
1 13 181067
39 26 193446
27 21 208504
36 11 145372
36 2 149339
34 30 82498
13 27 246823
17 10 37021
4 8 80515
29 34 18042
24 33 73763
16 3 191014
5 2 75493
30 25 27071
35 4 71504
9 17 290413
14 36 144552
5 38 158595
8 26 95702
17 24 74044
38 30 60184
8 39 206015
28 2 145200
39 25 156490
35 23 166767
29 38 126234
12 11 179597
21 30 10474
27 30 198030
26 21 91240
15 26 63428
4 2 105459
26 19 120611
10 34 103317
26 12 164408
6 9 278232
3 37 128579
25 10 93878
14 34 158303
2 22 223959
18 28 89025
25 26 74643
38 16 139699
8 37 39346
18 31 327858
5 20 62627
24 25 39440
2 8 136240
22 10 200661
21 8 66122
37 15 150782
20 16 117859
6 30 118458
14 10 171055
1 33 106734
23 17 193409
2 38 83102
5 6 206151
20 38 127709
27 23 291425
36 37 85049
35 28 160979
32 37 103103
25 13 141770
31 33 298111
19 4 84591
14 25 102876
22 13 247813
34 33 21104
27 22 322994
38 34 142682
17 37 77977
17 22 219527
29 16 68759
28 20 125199
35 26 16910
13 35 171321
12 15 194016
11 30 76625
25 9 255809
2 3 135195
36 29 100235
18 36 93164
8 35 78792
5 37 103995
34 37 66196
35 20 70230
12 13 181311
6 16 86677
6 17 147637
1 37 82670
34 36 109748
27 12 225368
15 29 138282
29 10 94089
6 15 66423
19 23 186087
29 30 66050
2 16 160107
25 32 146476
11 37 60323
21 3 122751
32 15 180786
39 5 145268
25 11 103696
13 36 183446
7 9 299109
38 39 152877
18 34 87561
32 3 218246
9 15 299463
31 32 269596
25 1 39297
12 19 140449
19 35 103701
32 2 161945
39 11 188940
13 3 202238
28 10 163304
24 6 130827
30 37 16302
34 20 67142
17 34 116820
35 14 168730
22 5 205007
36 17 7072
30 14 75805
1 9 295106
37 4 41169
14 24 63436
18 1 69837
22 39 201125
20 18 117612
14 37 92107
23 29 210245
24 5 132666
24 3 99908
32 34 169299
13 21 125173
2 39 69775
33 22 219246
18 13 139116
38 18 84601
12 31 372293
15 19 150219
28 29 130658
17 33 119234
6 26 129851
23 37 193984
17 29 107307
14 32 195210
4 25 51938
22 21 168326
29 7 145475
30 26 100753
28 14 140413
17 30 61675
18 8 80065
14 8 131453
5 35 132857
19 25 86795
32 5 86452
22 15 244854
19 5 96098
15 35 46518
18 24 36786
31 29 314878
29 11 142675
23 9 243894
38 25 87255
22 12 280525
37 6 102156
4 11 101492
32 1 185773
38 9 221739
26 37 117055
18 2 84061
20 3 179802
30 1 66368
18 11 101042
26 7 36801
9 8 215422
15 1 177368
1 10 133175
10 9 281543
5 3 132178
32 27 267152
13 8 101383
1 29 111470
27 11 245109
17 21 72149
14 17 137480
24 21 22843
7 36 81335
33 37 45092
21 32 129879
30 10 98696
28 22 222460
31 3 385866
28 37 48306
26 18 105183
36 5 105233
13 32 234104
18 30 24417
33 38 121578
18 7 141984
21 29 55576
35 18 120788
25 5 147368
14 31 379246
19 1 126092
32 9 204237
30 9 228738
25 2 86715
19 18 84141
6 3 156311
19 10 106026
22 11 234477
27 25 216211
38 23 190426
14 3 124926
30 16 79515
27 17 193174
22 29 223902
31 37 287139
16 5 167208
34 2 143736
21 5 130771
32 16 166316
21 19 70198
29 37 82352
28 25 91679
35 39 186140
29 18 69519
34 4 107365
38 36 85103
26 11 168364
29 2 125694
1 3 178645
11 15 138006
36 28 133355
14 7 188621
8 29 44892
7 19 157412
7 38 77370
11 5 43672
4 27 222897
38 17 92175
23 5 89989
28 19 91728
26 13 188231
22 7 210816
2 24 92961
15 4 118022
34 25 88541
23 32 176441
16 10 91480
5 7 162565
35 17 34696
23 39 235257
8 11 99669
7 21 128041
17 2 142267
15 31 295978
25 12 95602
8 10 76467
32 11 42780
39 21 139893
12 37 119274
33 21 71868
17 20 49678
31 36 311909
37 19 43422
19 13 161904
28 4 89475
35 25 91553
1 16 136347
12 4 147540
30 5 120297
36 23 194391
16 34 50717
24 26 88384
23 15 174216
35 31 335359
16 22 237367
10 37 114998
11 19 103745
35 29 91764
17 28 126283
39 30 150367
41 657
15 20 100173
13 21 106181
16 5 110303
26 8 249465
27 16 116783
28 18 62887
9 31 3029
15 31 72196
9 21 49780
12 11 111830
37 38 108688
4 40 126864
16 30 87287
18 20 26685
11 38 214291
6 35 123153
17 40 107315
14 20 92134
27 11 213414
18 11 107702
22 1 128281
12 15 69366
24 21 97445
22 15 75298
2 28 78487
25 27 160350
37 41 70303
17 2 51557
29 17 111166
4 12 134358
41 12 56520
18 21 75400
28 17 98844
33 41 124025
18 40 71358
34 26 101368
18 3 9688
17 12 31835
21 41 127798
19 21 119149
37 18 17905
39 19 84156
28 29 148322
39 1 64296
25 6 118173
25 1 162200
38 27 207049
36 24 170299
5 39 143117
28 13 625
12 9 29742
26 16 6356
6 14 44578
6 5 103320
39 33 103808
22 23 219754
28 27 126126
13 33 106348
22 25 61132
18 25 79917
24 8 204387
15 18 73488
21 3 85088
1 28 158690
18 31 28649
36 25 165908
22 21 42922
11 30 167012
36 27 141009
8 37 267123
8 13 284089
14 13 116031
26 5 110740
34 4 212851
28 21 105556
11 13 171218
36 10 176537
7 31 37061
34 31 97924
25 40 100012
31 17 64606
1 31 124452
27 24 112928
7 28 71299
11 15 181190
38 29 192024
12 24 67654
34 39 114051
37 21 57495
33 21 73728
2 3 25288
2 10 73274
31 12 32771
18 4 138480
27 7 97300
41 20 69653
22 33 104105
2 6 75940
2 30 113958
28 35 105070
35 8 294806
1 15 153848
14 1 116283
27 3 107156
5 17 138667
3 7 9856
26 12 8837
16 39 51478
3 39 41851
32 9 93232
40 5 42530
22 11 140180
16 9 36691
16 11 118773
14 19 109198
26 29 90150
3 20 36373
4 41 190878
13 5 53193
20 19 61004
19 5 71706
24 40 125986
33 6 131967
16 2 26686
10 30 146327
19 8 288499
34 5 153347
9 1 121423
10 40 80781
26 41 47683
4 38 215342
26 28 58172
39 18 40407
24 14 20618
32 15 59909
31 25 51245
20 36 145548
7 9 34032
6 12 64462
19 28 19138
40 11 179060
35 25 4980
32 40 81475
27 32 197563
20 27 122215
25 39 118676
5 2 129488
31 35 46265
28 20 80142
13 23 251779
12 20 30807
18 13 63512
23 36 85103
22 32 100090
4 3 139924
40 26 68210
8 21 276234
8 17 240222
9 25 54274
25 17 114953
36 19 162612
23 26 208681
35 14 140363
23 34 244150
7 14 73861
7 4 130068
9 24 97396
13 27 126751
7 19 52161
32 1 173776
14 41 69845
4 25 182419
19 26 39034
41 10 5276
20 26 21970
10 32 137140
9 17 61577
10 21 133074
33 14 137076
21 16 86471
17 36 146576
20 2 42285
23 20 230651
17 16 47028
19 23 247715
1 34 170174
35 1 167180
33 5 158291
17 15 94002
21 26 80115
9 11 133322
4 32 188263
30 21 151092
30 15 171846
36 14 184312
25 26 84609
40 33 115761
24 33 135159
27 22 112934
10 7 66086
19 33 86585
8 27 276079
21 11 183102
3 38 116277
26 9 30335
36 18 118863
41 15 113857
27 6 136888
14 38 133901
31 37 10744
21 27 155856
30 33 169985
27 19 145264
4 8 342729
29 6 89392
32 31 90203
23 3 205410
23 18 203966
36 29 204298
24 17 35819
2 19 59349
15 26 78203
10 13 91444
3 11 117390
1 18 95803
16 35 85985
36 16 129934
33 36 134021
37 13 64116
3 24 73220
17 14 56437
28 8 283464
38 12 110711
17 6 96297
10 27 156879
36 37 136768
25 23 158689
12 27 101590
41 17 88379
39 11 148109
8 11 323080
28 31 58805
27 4 227368
12 8 253340
16 23 215037
20 9 45494
30 9 101312
30 24 79832
2 21 91000
14 3 75137
31 2 44249
20 33 98312
15 19 117237
31 27 109105
5 36 113483
4 37 156385
15 16 84559
41 40 86057
37 7 26317
24 28 134663
30 6 126336
36 30 90467
41 1 112590
19 29 129184
16 38 117660
29 8 265893
32 30 147021
22 34 91624
2 4 129099
26 35 79629
1 30 175497
17 13 99469
41 22 84876
16 4 149551
4 29 198934
1 3 97247
34 25 102029
2 14 81049
21 34 48702
8 33 320845
39 9 66027
35 19 118663
29 41 74663
20 7 35097
20 10 74929
27 1 184691
10 25 98182
38 10 164263
31 29 114084
7 40 79770
7 38 115001
41 34 149051
20 11 134387
32 35 43938
6 15 133828
29 10 69387
13 38 157374
22 39 72885
28 4 116826
12 40 75480
1 7 87391
31 40 48767
22 18 32478
37 16 28976
20 31 48523
8 10 196506
16 7 19483
1 2 111407
38 9 100973
29 32 149838
22 7 40890
12 32 122974
8 18 249218
24 31 100425
32 21 92285
36 38 225452
14 5 123378
13 36 166676
12 35 79036
3 30 108046
25 5 142542
26 13 58797
10 18 57674
12 30 102480
15 9 75225
17 35 110871
11 19 151451
37 6 78245
2 39 56007
22 3 42166
34 9 94895
29 40 150168
37 22 14573
25 33 104146
33 37 89532
24 22 104254
26 4 143195
13 2 79112
22 2 48078
12 19 47871
25 28 110050
30 18 98358
32 7 127264
30 40 65546
8 7 257630
6 20 77595
2 12 19722
16 12 15193
31 39 69056
1 33 159186
26 36 123578
15 25 20951
36 6 179203
35 2 90514
17 34 110328
36 28 166051
10 39 98081
19 16 45390
38 5 179022
16 34 107724
4 39 106973
8 22 275032
32 16 129923
39 14 60887
27 5 73558
13 6 71453
10 34 154327
11 37 125607
39 36 151026
34 12 92531
33 26 76342
21 15 32376
37 10 75582
3 10 67362
39 29 115616
19 22 76227
14 32 184301
31 36 147512
27 29 191147
35 9 49294
16 33 82698
4 33 201863
27 17 124845
39 6 100747
33 31 100276
39 13 103919
6 18 60340
41 19 86717
23 33 219124
19 38 150338
14 37 83354
2 32 134452
33 7 71795
4 19 135964
29 12 89557
40 20 90180
11 14 139311
14 25 145343
9 23 212963
14 23 269415
10 33 129301
12 39 36285
29 24 146985
35 33 99166
39 17 4450
32 36 126950
15 35 25931
25 37 61989
10 26 52959
32 5 124005
36 22 151341
30 26 93643
9 8 274838
7 39 31995
15 24 129821
36 21 194263
26 2 20315
37 30 109027
24 4 138342
3 5 123576
35 7 83355
13 35 105695
38 28 156749
20 39 67092
34 15 81078
13 1 159315
26 3 14403
16 14 76520
38 39 116542
37 34 102610
6 26 55625
10 19 91993
26 11 112436
3 13 73200
35 18 74914
35 37 57009
23 30 175570
35 22 56152
2 24 87376
18 38 106589
22 6 92818
28 10 90819
10 31 86323
41 2 67998
30 34 176363
14 26 70164
28 40 10038
41 24 90463
23 39 234723
20 5 94689
9 13 56401
1 4 162369
37 40 53453
24 37 89681
15 33 106104
16 8 255821
29 15 131831
23 12 199844
24 26 76491
14 21 118063
22 5 95126
18 2 15600
19 18 43749
4 15 196525
8 5 307147
11 10 165376
33 32 143104
26 17 40672
40 14 105368
29 37 103340
32 41 131864
40 39 111765
17 3 37401
15 27 170956
24 6 65196
5 24 102848
7 17 27545
9 2 41220
31 41 81047
28 11 170589
40 23 241116
15 40 120963
16 24 82847
8 32 250868
37 32 100947
29 34 182088
32 26 123567
15 5 163512
6 4 187654
25 20 99768
12 37 22027
5 23 198586
37 19 61654
33 9 97247
38 6 166929
36 8 368081
33 38 124921
21 38 51193
24 39 40269
38 34 99895
25 30 155586
28 12 67009
23 38 263209
28 37 63491
31 22 9887
32 17 153911
13 29 148947
13 30 76209
31 16 39720
35 21 58307
11 6 168042
7 26 13127
41 11 160100
40 22 52596
35 36 170888
3 34 98097
7 23 204134
12 1 91681
21 39 65349
20 22 52352
41 39 92831
17 30 115651
14 15 138937
9 28 55776
32 38 143478
28 14 115406
11 25 187596
9 36 144483
10 4 196154
2 40 86958
38 31 104002
11 7 116114
25 21 53327
41 35 97902
32 11 226554
4 22 170958
22 29 117913
40 36 156022
34 19 111611
30 20 71673
31 11 136351
41 28 96095
40 21 95518
16 41 54039
17 4 102523
21 7 83812
9 22 6858
27 14 92310
12 14 69571
35 30 150606
30 27 50542
39 27 129295
15 13 131626
5 21 138048
23 4 332796
22 16 43549
17 20 62642
11 33 179329
23 8 448515
9 18 25620
34 6 156993
19 31 72398
1 11 203505
31 13 59430
14 18 65449
36 2 134463
2 7 24012
35 5 137562
6 32 142265
38 15 83569
24 20 98461
26 38 111304
6 23 264306
1 17 59846
33 27 169095
30 7 106770
41 13 96720
5 10 123311
25 16 90965
27 40 116088
5 7 122300
24 7 63364
24 23 255402
31 14 94098
13 16 65153
23 27 190794
36 41 171261
35 39 115321
17 22 68435
4 35 187399
35 40 95032
16 40 74581
25 32 38958
23 28 251154
23 2 219566
33 34 25026
41 38 158987
28 3 72575
30 38 193119
5 4 169394
24 13 135288
4 14 158960
15 2 89088
28 6 70828
17 19 79706
19 32 90575
31 8 277867
3 33 73071
31 4 167129
2 37 33505
13 7 71950
22 13 63259
27 35 155370
28 30 75584
25 8 289826
39 26 45122
41 23 251595
20 37 44590
3 31 38337
3 8 258906
25 19 123643
2 25 95494
16 1 106874
15 8 308610
34 27 194121
11 24 159929
22 38 94115
30 8 284219
34 40 110817
20 13 80767
21 23 212016
29 14 133956
11 17 143659
