100
583475538 138552 53
847 250878178 9870984 359757195
254 368977154 470280198 236435073
675 251548754 6298294 443030140
426 47865004 256425896 97798975
660 52020174 482975335 97352916
400 195435889 191904571 18281105
1188 93641357 278954317 449960494
1472 136968294 145909261 220972522
290 220488817 308483591 448025235
24 438431777 321707553 115761752
1495 180733061 30051671 270925441
49 237663238 230187529 436073549
1759 63928143 56300840 370853295
1352 145253753 480578539 433112269
1375 22066923 127330233 349381981
620 45451119 418394683 437871803
388 310743925 152016633 390696882
94 453696253 371695867 487170708
1513 88967065 192813557 22617484
1740 171822274 306679718 394810347
1222 234696945 160345427 362857922
1223 411267673 335525692 408406979
1988 202729624 114221580 70924780
575 307957047 464548627 33680211
330 94324536 198263522 369550763
663 221004047 123066899 348087834
354 453989956 381000010 95263645
1700 235451026 102234128 244673423
1608 386586854 384295676 113231800
1764 364386885 171053979 259616798
1698 79725614 375262232 479830107
505 54013686 312712118 84018862
3888 264034843 420199169 337124080
3159 242552815 206474853 73154606
2950 382917262 75567369 4113006
2141 212568610 326713920 123337978
11096 399931153 208133502 313267395
823067588 180519 13
5012 401084605 660066469 105042036
6299 385981678 430843719 291774823
849 196985403 638659469 46826443
1101 325400059 502784330 816450280
15473 577391639 75030860 767124266
14204 425188750 149972957 190803179
7553 81440540 241688479 527093049
16752 146514252 359212857 224999532
9821 329414498 324471693 785070553
16731 515053424 539968918 622902252
10716 817955116 334930838 725065029
9672 754803549 492039830 115686453
66336 259276386 32356327 180935814
3 1 1
1 2 1 0
147516593 29782 3
3644 70789004 1 147516590
7191 138183914 1 2
18947 144142677 1 147516579
83462105 128376 54
743 12117235 60850773 42541126
414 25458847 47444137 48610319
1324 65938192 13102017 45697911
533 19846239 72296495 4809504
1095 25696976 2294539 963246
2483 35476430 73250927 27189589
1085 65862805 11650729 38157754
2118 39396366 35587419 65153437
2006 33450541 4454760 80587791
343 71462320 19014274 30051623
1362 45354318 34951301 36515782
735 43087208 10986219 49087970
986 28852676 13577628 26979231
372 77300472 34168801 30834929
2730 56441051 82855270 30521575
466 6298943 78446090 31164233
585 43065011 48625532 44430178
400 71714525 8869363 52119960
691 12675004 32968786 76511056
2492 83379516 73904991 12301911
812 40847355 67017839 63758491
1153 8833528 20677055 60209769
1990 60594907 78717449 66399215
1996 46738319 14728313 65553185
2997 62494380 65284291 34615985
2317 76176602 59601900 65458679
2116 36983936 68301081 17991704
1459 52960994 6486823 60569115
751 49154200 29291983 67114097
2731 71560112 64295200 12638157
2382 24856217 72568400 64053729
630 71446536 36717082 69533482
1521 1776068 13645809 17101400
165 22770224 27807975 69895359
3851 80131718 13463059 74076053
2172 34595752 6380402 8504312
3661 63841876 45203413 26510763
4215 2318179 47764923 15123317
3700 73185359 55103525 27186095
1136 57044079 68518343 41390952
1673 152688 16703487 1258215
3692 3998633 82509886 52544523
3755 79749731 83363307 1084938
799 12517923 26724775 54571965
5014 6752852 24865764 30014782
3247 83362502 52787916 44370807
3279 8981225 25861435 40770627
4494 3209185 49485831 15408147
3790 1943671 49851625 69826829
2040 77891152 77931389 33412556
6198 55334758 69896537 80910997
6176 60642990 53753001 81401017
1450 30565640 9381263 9034080
18051 13593248 5055400 18250482
994107620 15691 1
15691 54153245 1 7
369866549 62427 33
1323 115035200 2785575 367097784
63 20539300 138686639 210425830
1146 109525332 190591302 239268566
1220 68335608 83305770 97702421
1861 18489405 29574190 233160302
1020 8947998 270078382 287322824
927 37094293 313126325 290314298
370 162634984 267750106 314542109
1443 47214807 138103137 309927806
629 334610501 81183132 25527038
2180 332742253 27599772 330291858
265 301883589 212821784 272428525
1478 128642418 115790971 202515585
348 113424024 190015687 186792153
2154 40550586 92945717 179701467
1375 338145606 363453093 5331427
2054 140946906 313523244 351980609
1858 42095447 177310441 14726248
276 155638058 363291527 52505687
1871 97751536 4830268 76584924
2756 109007772 241305130 240191693
515 89277050 14428428 166611370
700 101872456 37831688 300694588
2267 227129999 252634208 231683662
1356 151363187 291941462 17186544
685 51945791 297460673 133243155
3921 268724113 274883651 302617780
2275 137842419 322048134 233956024
3661 72985270 309572385 36107452
2742 284821092 98156344 188000138
5472 303658347 252394306 194362513
3427 182331801 181269603 68449968
8789 242378273 238011090 161550900
302007338 99658 4
19022 282622878 1 17
6787 207372707 1 302007325
35238 213508148 1 3
38611 168513016 1 302007334
580802244 54756 88
124 528004653 449457532 441561516
263 338671860 540317147 392315540
221 377745577 334357473 324059530
191 129815371 242009688 478614102
274 254786444 102513610 325084287
269 430806855 291909149 172772929
451 51491283 111422220 542211282
517 540257060 506142655 119666799
323 513032860 333517627 277463855
53 409410185 82455901 317349941
607 78141935 524248792 220444730
68 159443442 515978072 112255770
566 529932501 162451589 579891603
223 487371991 571429624 48048521
419 173457804 101666505 328285482
5 154616283 330469780 32961318
137 393095743 89377697 525602474
294 294195932 282939151 208185414
221 59788731 507157343 303194172
417 498935047 317217326 401759973
171 232649218 493833455 152167592
384 370681187 474303145 234045237
226 458304733 77814425 274268772
403 244053129 343828812 223737917
449 519820644 315640433 451778532
168 8264134 217617902 62714103
499 72334640 544794301 491590701
56 397150593 115815564 545701242
660 312615370 401452192 163815341
164 511111562 94319740 218797514
574 458766993 55511118 434898308
785 281215478 246388112 319001924
212 434980329 68577446 175319098
478 346199159 552381797 443777678
519 205377702 580265350 301498678
355 14166020 123429154 332562059
116 307945594 201972336 67137667
420 255422923 462572047 354584616
602 283678901 77026799 39727032
142 287997494 154779520 494576911
328 81331024 115345221 352142963
106 184086050 318857026 211839025
861 509008102 110103123 337398326
123 434739592 280953722 576969249
28 477278944 260437490 556340751
226 87010883 375662496 316702640
77 146558547 363591317 430364882
533 153725186 452134137 91355012
744 226501506 287161817 542362824
412 92941670 1471569 10500929
81 480714603 104222236 407151621
578 182048422 244167079 318292296
290 56204655 166390115 397643125
43 210066012 406846302 96307712
1002 78316462 554289061 151386282
380 341881420 126673956 366907056
139 364326120 366782946 177493552
1079 420966191 269631364 569143669
527 535277621 477656170 345775995
974 320501588 80950471 169267299
40 330819775 549994145 550599155
23 264872841 405102032 167188810
579 2022921 485856855 575916062
261 242663715 129314494 7102808
1257 501853790 370658147 520295806
1299 157136163 178502028 73560917
317 428363209 39800166 405909521
798 474130569 308724169 33982941
123 560981406 285301992 342913329
454 560451128 259122611 242895107
26 449709418 96859555 274173244
258 210414505 251270808 194256098
1278 308931969 518262239 537827979
188 375262729 247089842 5124096
2 555127356 36944159 60169860
815 289644396 379966521 16777323
2074 312941447 180194802 339680932
1061 41391236 21344392 126066489
1848 195425299 564909777 514335635
1123 7767344 243829205 228230411
134 481546245 288707800 139143229
556 520150162 97792794 186336226
1688 248993885 51406295 336353136
1526 9654138 94906134 209940986
3024 218238978 102522354 111508738
3968 28056591 500831212 499302100
1737 518288986 297617385 388042496
6742 482283746 274437036 321883014
501968974 177534 81
1860 132137455 397518752 12313668
1217 392539897 95089818 278001471
1285 455409941 142444309 483293869
2044 484945691 229364359 235419675
2050 294014794 215896771 296647019
367 315646981 326876552 138292292
2088 174740271 230438021 476131108
1472 480452758 47705685 352318300
2160 78363922 288642527 123760703
1552 102476009 393279049 79212938
634 277145013 244399400 487110792
1392 104625756 35677803 61937105
1679 156233634 28281280 178449986
2039 384492468 10391892 98341984
1342 28775094 487683581 245588082
2180 411237581 168376485 333474840
244 269579913 334091255 200622117
1312 84548647 405971795 183727171
631 500714863 229664896 174307561
759 129474741 251887548 256055441
1244 96904794 363730585 331306951
2234 303329890 42934260 186618262
1771 480854626 84049315 319318561
471 164652228 189284611 27903936
1745 154911422 160503252 199637089
9 90026912 161734248 121901062
1860 130903460 28760672 227903755
2334 215820691 417081927 125312011
658 42772775 104112168 83867832
2565 71175866 250264791 280667451
2430 140667158 400356109 382524223
607 295422677 136469212 233874916
2317 170698858 363628242 360248790
960 253556850 250903012 19474027
2341 66631686 299822930 79811082
1905 228851138 57363742 80519416
1199 5744223 56126204 454232341
2689 344314871 130687187 27784604
991 143369587 108066906 431633136
2607 162661222 189532193 485702701
696 300862492 252902255 300196722
2677 214074827 364028683 461919049
16 458250270 421140569 355793480
1960 27510663 304819790 352515004
1542 404301958 464949739 26815816
2055 320265488 232216862 83439033
1162 296743178 317408027 130965870
2364 292944025 277827862 119680983
1955 374057406 357602375 368183049
2179 121884167 166066027 35507851
2200 262028216 209713393 313770634
2296 310040227 459055764 10673105
2377 254590225 282076206 496154238
2203 71701038 40356866 358742913
1639 296329229 137271858 196530982
1086 250502790 262863290 367147195
2737 388104223 167760471 330392097
1192 68836921 11163664 259567890
2818 145026399 163819172 434481601
2864 460373935 137413684 234568895
3709 326264881 435289056 375293450
2753 142201260 191448133 2977906
2144 126088987 282066102 165582995
2867 94317881 387076444 206240496
1449 207833516 403315069 240236234
2337 36966519 66349055 79533823
117 336919603 206398077 73248474
2775 112036644 355708272 256680424
4403 449772158 219935208 57489380
2316 54932588 52077176 157030587
2771 405076402 360532732 379444383
180 462298815 21322973 415785106
644 417829286 339214947 315497274
5609 94039770 401563911 364986492
3872 236394704 121161095 244153901
4831 216961012 399626176 188320739
2323 418287630 149682259 198795112
1412 385970912 456877759 420910780
272 105660128 124915752 163492286
4939 377138381 366639826 174125960
26549 48590019 84421305 380025848
2 3 1
3 1 0 0
917639828 6771 3
542 545567194 1 917639821
2081 82978338 1 917639812
4148 860847774 1 917639824
439785620 148656 2
57621 158062227 355172882 56770654
91035 322346426 143974011 65198829
978251987 74647 5
12190 917905607 1 978251968
4037 679723313 1 11
11280 264480833 1 978251974
8302 162572437 1 978251978
38838 173928091 1 978251976
363509836 89188 2
11668 103810860 1 11
77520 329386682 1 20
445913840 152721 50
2538 134888031 9568603 372159117
1325 91124856 149985115 172074575
2548 83366415 429931694 206111981
894 350025538 407628675 8620765
650 274302560 234704780 355651414
906 349987793 15046666 356990486
1324 285246626 444156491 388263502
977 435976036 389433747 224148179
1092 407795666 124612821 299272837
186 283896984 225597945 219998872
2045 266532974 429978786 297246910
1202 23336428 186463825 151421806
3042 376291831 63240873 1175173
31 416037123 327292613 9103035
466 351077708 292651757 170055159
747 183112251 405789895 309967971
255 439868460 47870112 310050146
689 62089804 286977229 364709475
3053 294053433 100465058 432450185
2616 27803840 71321182 258330725
3926 426026271 313563615 208091262
1840 331983364 44944465 42094202
2221 227794820 131329855 231789837
1299 214335493 53271219 333131496
283 4586151 30207700 320858397
3012 404946631 24964771 252686702
3677 83565840 80597871 5340793
4424 110711425 374684034 353687529
1632 328549003 172774910 332572203
1107 330440995 241598728 58491231
1923 70959609 317532698 384472664
341 132762927 21974133 30390400
3829 74212254 185836961 23825745
1554 165098938 58843276 35380516
1824 368454404 194709231 124257071
4130 187363828 88749227 1002411
5380 424627526 426378122 261897565
5179 217088429 414046051 5661135
3619 150063277 128689796 232511638
51 68025089 7347018 143488545
2128 192302010 300106156 408347720
286 184363238 274715160 22969306
4908 341834152 421029304 394358196
3923 183937013 360455706 262399289
8191 402493436 391926915 73008568
7095 172810585 66428896 30601321
263 271642984 398426342 303551267
252 311056552 184812150 98291935
1140 139283880 6281508 130032246
46698 264461939 303122119 284857088
533697483 110669 36
1141 249763770 17241596 20590794
2557 250832577 14876784 302684992
2820 90621803 70817492 342226581
171 457848929 390729913 491318673
2340 23740242 290465269 214266106
2949 69863888 378459123 26028155
107 166558767 386839156 272136349
547 214971540 476674725 300929941
2202 108947760 44163823 19372303
1483 423943001 374202105 277393892
1241 344835816 401658713 509064043
38 279883952 167815869 223724741
560 75937849 446515040 135255580
514 416969231 329915739 520495218
3001 320570862 73311659 475255411
1828 529307072 491818080 79807055
2133 358626528 96250976 12227360
3137 26367454 485186665 379115942
886 85940306 482074993 197541382
652 279816608 474821462 311123653
1021 122238998 51731716 104022921
1153 483813789 422368517 94235265
881 321943432 28298850 531176490
2491 396495664 253649120 456845586
2327 288420681 99968716 13012197
3465 494349608 251945354 188837007
4233 504683311 455441163 425161934
4814 53011245 379743480 469500826
3726 454787498 128887741 245484097
1548 139753662 201153670 243602060
3953 149557310 328594422 294337510
7076 2984253 413820716 265602222
1584 407120777 353247625 493600540
7769 501928356 251605072 425738441
1700 321944671 274828635 528498944
32621 374888918 2823406 404840506
296293206 95197 90
195 216230265 33856662 269521009
649 221130982 200785137 289491625
578 175821047 238047233 92085140
77 205294020 21345950 284154371
986 207579478 169296033 22460850
1074 138697759 239999753 135243295
122 220316940 60806194 99500255
253 75050219 71810919 266603011
647 275249073 109761803 155981998
860 238453456 125959350 293348624
852 246057478 257351840 281526236
74 232116402 187660374 24532621
428 288074797 65744849 273010984
299 183512900 139468450 115668689
30 18490198 118034850 254898733
300 113253041 293699205 240975182
1107 139663870 131333186 208028440
481 110150979 58959390 2633335
978 258744737 187198662 296287877
73 294636463 68489622 206246130
248 213436033 209193634 184744987
806 210547093 204981604 48734360
407 57365490 145112706 8270841
692 44058849 73375340 119974632
507 166405895 27545409 170708486
184 55023246 76129915 74117388
1236 164710905 260809735 141452654
328 261915729 19228346 144128560
313 175839719 172484825 56981792
671 39448465 258050894 232230380
947 135864640 7239098 137909105
444 266968065 83530254 191521557
507 115372804 96239930 236492425
1148 111075699 75236792 67300414
473 60300104 82793243 62893159
148 66478345 22403578 208193770
7 81470457 78986495 75370074
296 145495496 83480775 76450582
608 187427044 36257492 191946242
692 126483974 170482081 189931855
612 254585591 121947007 204065058
237 187144894 220255043 253810285
1268 235033147 18830084 104105764
101 228229941 65699178 249850195
1428 212832170 146744733 96437667
422 239518738 237379207 175355881
501 60640236 182271635 250934147
439 87702020 200942026 36437828
1375 192328464 86446949 296247445
908 95883815 182789538 228275787
244 248275393 102155522 92307909
312 73781087 26581758 199876509
877 193414290 23021793 242825907
538 291544868 18033513 124844415
1364 13570906 238699151 17658609
1019 100772716 228604588 284729793
929 285485317 216799042 209856997
1025 73680708 123095643 44472930
966 247975135 262621905 239334591
1890 218732044 22394724 151078244
552 243682092 255747377 150183680
319 205488311 146510432 189119009
1280 276075451 131015893 247456380
1924 255749565 6056052 69061415
1409 270781304 111614929 68945927
1425 156895801 219609648 235705412
949 227474206 142092572 241653816
1358 140663464 280141821 59811253
797 287394892 244680988 47034415
2217 158406499 186338041 152084518
1601 15593036 275429341 201109097
1644 393281 149158514 279975201
2113 97276569 47531330 226240251
2319 289136264 181994112 139902149
581 238482164 212721433 285447084
2292 94273551 77420360 236340721
2123 23778547 96647166 205166191
1412 257153010 116347010 45592534
1221 88420666 166132022 198774752
1318 213739518 196582152 71492889
45 119986238 168051871 262344085
947 232893301 159697261 79922776
3455 92340834 163110836 25501424
3026 180659631 161566480 136383763
2670 177533127 260026915 82734065
3378 87649999 95922437 208986752
2265 66861256 186935248 40873139
3709 108190989 295024805 233683028
753 36984336 93878556 202702717
8915 40186972 242328034 264113501
760843696 156324 3
48395 116472479 1 760843681
4931 243354802 1 11
102998 635122334 1 760843694
570394679 7592 3
1908 146405207 1 570394673
831 697913 1 570394677
4853 309156781 1 570394677
639866823 66666 5
6857 581396906 1 639866820
6147 340092147 1 639866815
3925 202026431 1 12
3335 158103971 1 639866807
46402 372678090 1 3
451497287 125976 2
35293 127000562 1 1
90683 367101509 1 451497279
987654321 21000 6
1000 123 456 789
2000 123 789 456
3000 456 123 789
4000 456 789 123
5000 789 123 456
6000 789 456 123
860397793 92146 1
92146 657001978 1 15
459377228 61215 77
248 210507523 113075640 320388312
348 170220061 356936682 86084146
295 127507958 84530600 405688812
453 211467424 615506 426410714
174 400012525 255216317 256022303
704 231055476 135150320 201552342
208 200872846 268666301 233720547
256 285072342 359375382 196687437
417 292969308 70458867 161740537
78 188995060 287766923 201416097
775 349044404 357481981 311763840
397 5962018 384615771 234218382
558 23089164 440841490 147560174
189 309070012 7816755 34275677
30 191378234 213378320 294795921
892 137918748 79300983 250372609
750 155265301 12255684 178016090
390 235674456 371364092 388659463
306 263100595 284474425 88973844
78 47522109 142848440 176752928
36 187405233 218864025 362358500
240 398861900 411484024 77951919
610 109193485 117974024 294819845
455 67227735 262845582 362851321
476 161899160 85485724 253808295
346 383405985 127903778 320702277
355 58895983 60343185 89245812
390 3084099 161201189 239126835
564 103673783 182645858 277879393
804 141743178 114312547 371817032
489 279279515 227762972 1617433
678 169332193 107949350 53441748
710 124665243 78727238 262208006
743 454938223 456183610 222781909
1084 439186325 6886346 84943555
107 27325002 223798363 372288584
997 169511668 18489887 326341121
377 146420844 301189567 187844418
208 374457398 126234490 251109448
819 20022993 64508734 424181068
585 335946641 18703228 218385346
597 443406177 150604184 445976413
1066 106261996 317949298 191080195
232 333158608 370380076 168926742
907 382685286 380554882 19256197
560 339835809 191651281 332929391
901 308054064 330692089 158616624
1271 80402316 146818815 315943368
531 456926698 49315164 325256763
634 421460496 358741094 281191313
223 146510490 408226766 372942358
848 170951007 380569091 401340083
198 84034199 450619884 374368566
12 70123102 90613095 294436204
452 212242864 35705780 413958215
341 218932140 356535150 30631295
806 315602555 120736982 292276502
227 266390738 414582989 140625126
1464 228744601 354899075 91258870
431 310688844 350963731 44382438
647 100465287 354238537 334127023
1472 306720374 310434649 49014808
130 307809545 458613313 92839569
139 80252288 205986694 371651276
1097 277841516 176832992 236415264
1126 315644116 348380120 373989475
2318 448031473 359405340 163177249
1317 292604560 325190370 401376827
1446 388238830 141709738 199828016
1789 355626525 18545540 422491697
500 354002703 112661787 119684099
2566 26320645 282510743 330917656
542 113505349 14207152 171047363
1746 226795975 69899983 80217982
2984 282138693 254474801 39386173
31 361762305 451276281 62777149
11045 94542380 419176630 64752794
373657361 84783 14
1808 169935697 70072499 117396782
5996 34157532 42299353 259498068
3675 258733592 282780326 39609899
3463 125384646 269188304 246660018
2846 282306267 97279021 137504549
5241 200316266 365505598 102823324
6583 81502943 43293184 42911120
5757 57703263 102257867 241191398
1490 169226554 200778786 51507585
3649 315317204 78806328 352678190
10759 161243500 100539984 363376444
10815 222351800 74691167 307395138
10925 347807005 260636752 4905886
11776 257840578 61419036 222713201
836869777 57397 33
792 401089428 773137716 145830647
904 442453422 463773938 204077599
1300 287102743 271746912 147568791
1279 363848369 182045469 46115981
886 588869298 40522140 132786687
1724 734029011 155191535 148559282
105 709624990 819763850 304302600
50 327154763 786976964 116924410
56 675301261 322610795 433003016
937 369318561 186714874 724522795
1790 692850459 663633425 404392937
934 264719409 546362450 288577212
1559 51294118 485939264 711492575
1525 797483032 397836129 295090982
1502 678496708 793176893 547201539
793 657070152 422651605 395711179
885 178738153 441630061 345704098
1421 374148158 110255023 495256863
714 557356383 46429189 494553420
1224 520080862 651007179 380942932
892 248775445 73058225 681527658
2760 435639653 593478207 284431202
2912 587869051 94643067 637670192
1767 228079249 387040497 563874094
711 148165886 242975851 758774237
2897 79587939 111866538 607329355
173 469298993 552681522 772113724
3650 736412748 364984344 322020768
2636 79936692 119895503 245820324
3795 774804311 525797598 261133250
2904 561037977 573585592 754648217
2503 504090389 104725907 561272515
9417 650398559 106511097 791568451
708593658 145505 95
1019 389356299 413673221 463840150
1059 617851453 510805210 562103982
541 299830667 666853714 74881870
282 533109587 24007923 689200777
442 146613303 373060591 11835569
580 389410097 504963270 582444932
1409 566147816 692515509 112781055
361 366272570 281817143 248799731
1255 409604574 598691792 396281138
371 487530680 696187455 545170995
1414 551149102 535471776 406650993
676 558105274 528929699 402326223
498 30056998 504117044 106542705
1082 522630810 660807338 50010850
703 526525750 536160689 452312899
684 463768855 327295476 222587997
1164 526025838 126060850 137465873
254 98444223 668958720 284536330
26 177846995 171306836 486165779
508 625760486 119518813 163292681
994 204493152 700852082 210553805
898 335257655 279313637 358223890
1670 79337280 534479270 467670416
1150 545425067 625612015 263295861
958 152248948 87684689 651147649
101 74731293 252795040 540029336
126 139063179 243611945 200083131
1675 253146653 607799857 393266232
517 600799864 219116729 224917246
1180 170759872 384035598 194153323
747 419026471 80643414 372899979
218 384110122 133051197 362165278
1577 156147021 211360858 405031022
1333 191092858 644894880 459112007
1594 509651547 628939753 341943581
1319 558793918 72852982 703238954
170 256430059 409344365 78983180
1389 677535999 21129852 372505432
1334 393937100 379519343 677042365
1384 120815330 519219396 666150212
1917 230193289 684470956 164935206
1266 462837701 693167712 582443907
839 141312818 433430812 620687808
1063 557627612 306260669 102820555
1815 260048452 245180819 624646448
2014 26693546 196023986 582555708
572 10594404 266968234 617197775
34 211316244 638047104 157300697
879 527770023 162906696 105633222
924 537093797 340705883 86473391
207 453358633 249832603 117082226
19 449413364 258044779 174210288
1388 248304668 584502138 435537557
1478 365634992 199718166 250911867
1399 310798267 252471236 2829692
1519 52847366 536689488 359898802
1997 418183229 128069241 174906475
1348 396978405 648242941 74215202
231 616327485 51082237 75742900
2157 103658776 548101358 369214881
1424 222497228 383909705 517645877
1377 611628969 587201826 255476858
1960 15973374 161246569 584893777
2408 616093435 573817405 225216173
2425 177253807 360434816 229157163
1971 184040521 224774346 437866061
1860 495011967 70618891 641944639
2223 351569832 594198081 501306014
2592 472773116 54804302 268572780
211 71996515 71204932 121902742
1598 698936364 82940500 315814139
665 1633598 46982209 338990765
578 613721521 500761468 414240070
2403 408041615 434175532 513609600
641 9601489 283850617 707730110
2921 291570913 167694410 516203503
1665 162740493 446121870 248975157
528 623996084 441846262 409617216
2420 646254912 588559667 662672157
3290 131044102 141088558 388900772
166 432340380 226149544 500745150
716 31442831 567531425 567817274
680 587487052 533543136 54009274
850 19227400 160194079 197940046
4453 550878644 465524326 671227584
4290 90133325 441460667 515232982
3101 407938601 520119978 281981018
2530 693704598 203922188 220900464
608 209532149 358263616 368417240
1526 523169024 374275988 546176964
80 111996154 268794140 610829020
2544 339757664 474956953 491824320
2630 386504778 247563274 366337316
13664 217986289 434589945 270045115
14779 515581982 577798525 417296216
234916985 6583 1
6583 156039305 190491864 94698831
662015586 73448 4
15545 247713234 1 18
18374 144541051 1 20
2233 142378410 1 662015573
37296 650263724 1 662015572
796092979 6513 22
256 380628098 744312381 323900315
104 663987600 680494734 140875608
213 566904203 658760777 165528719
82 588336577 254129805 337785208
285 568185615 93481530 486599537
144 347778432 214294078 42750686
184 431287294 508923011 219122575
340 124111308 414284078 277176959
337 638242773 219485085 531759594
122 244273471 175087391 40046101
128 407610879 74360069 624393077
26 774938886 484947393 164713452
167 790895025 595077875 117633363
217 36682274 17498538 401112937
311 385571409 579394971 790916886
279 215576718 554023200 1470926
240 82299237 720375298 768753620
520 718409041 152608391 354614522
139 532808836 700276446 717308098
13 786460403 661627506 130006934
215 417503044 195928493 261269032
2191 681376421 463767567 187871880
438313972 89994 26
1362 29972973 420704093 93138512
1594 215144306 3307230 352396780
165 294231817 228862169 157809856
2483 380400055 409518619 311628153
2107 245053296 409795841 143977703
728 18817733 408355672 371868730
1704 138309267 16853441 8137816
4158 182687494 195740660 166569490
215 187944341 419019782 135697885
1499 327709526 84295318 309444795
375 66300394 381035230 165716728
4083 130142929 260055745 214583754
4287 183318527 83896191 357423461
1760 220130179 348571857 254812454
4046 50059702 168319904 366185773
4661 242756693 218678539 155053496
3944 428069064 238294177 185222424
5479 122730709 144636563 372072395
4627 14528347 348306510 364831625
1516 331969028 158359186 357751523
2191 142612303 88407289 301967930
4407 74947069 7384754 191060917
7638 129843878 26098177 337276978
5963 181892294 137637453 218579457
8777 429890998 70322493 4761261
10225 363496974 374445060 263495933
676311546 172809 2
67803 120934605 1 19
105006 405928900 1 676311529
945885610 62484 65
490 944943220 637804135 613057142
718 904395151 143280745 844306051
466 520193197 512635200 526706616
187 833883198 360532271 816474773
630 616106663 455994268 807221747
330 11262154 677555594 73067117
1003 450737493 541403418 699037481
105 602169706 234226176 254673187
873 668054497 510058 754704842
819 258360235 209679044 11622065
550 724488021 675115666 682896865
429 178064760 866265013 688854231
706 470086418 382663237 617098717
584 72633267 214914809 41142201
786 361615827 243344995 809303650
690 921809488 891394119 461169364
786 877460513 266994088 286261905
313 413500733 336003175 116774277
182 161136753 749709675 586446084
189 781329731 750836346 889985663
1018 259726741 464467632 398063893
278 814803398 361828777 299848064
1005 422949823 391703701 726503915
437 731463763 128753833 552318652
1027 489812216 167530599 373818533
895 237197553 357800068 722213273
985 650232950 754293937 823030039
228 938102252 219632248 837912752
1137 601308667 772971934 438211360
687 101385739 627430835 186295888
210 18050586 605797857 317921417
1261 407101430 776024504 126999585
14 725462416 301226787 339239101
996 275664893 71882302 789793800
1002 862239183 577990641 636484395
299 285402348 359240653 511916167
578 899344016 864293869 787322399
1257 153730026 525906427 570918035
113 627531745 697024055 481162372
678 545226775 587003367 915581099
365 524774710 870392023 478996525
85 853866588 381133838 312360267
1282 58934750 712700576 906018683
1482 747204457 874909979 36058248
1633 451026426 814678885 681371841
1236 736549019 307614517 35588604
849 211594997 246545536 755835937
736 310346963 57541265 915092743
1219 528868706 821230484 438097463
648 912373487 432805994 299972144
368 348430717 11150688 226526188
1870 539731122 227909156 155234513
1422 16594302 566776695 115222572
934 10549955 755061959 747857676
770 265644488 743201892 603257271
435 83003115 661179232 222381634
374 108274004 927402380 610555666
429 600945564 7527304 106249842
107 186303751 655265827 777537330
2265 218525645 606268762 570759304
331 7862849 316670912 11792715
3871 342274720 526034257 327481155
3380 934297842 701577955 795886284
1924 587913602 657229513 665854528
