Nama Stasiun 	Provinsi 	Daerah Operasi/Divisi Regional 	Kode Stasiun 	Kondisi 	Keterangan
Citayam 	Jawa Barat 	Daop I Jakarta 	CTA 	Aktif 	Mempunyai cabang ke Nambo
Citeras 	Banten 	Daop I Jakarta 	CTR 	Aktif 	-
Ciwidey 	Jawa Barat 	Daop II Bandung 	CWD 	Non-Aktif 	Stasiun Terminus
Comal 	Jawa Tengah 	Daop IV Semarang 	CO 	Aktif 	-
Cukir 	Jawa Timur 	Daop VII Madiun 	CK 	Non-Aktif 	-
Curahmalang 	Jawa Timur 	Daop VII Madiun 	CM 	Aktif 	-
D
Nama Stasiun 	Provinsi 	Daerah Operasi/Divisi Regional 	Kode Stasiun 	Kondisi 	Keterangan
Damarsi 	Jawa Timur 	Daop VIII Surabaya 	DMI 	Non-Aktif 	-
Dampit 	Jawa Timur 	Daop VIII Surabaya 	DPT 	Non-Aktif 	Stasiun Terminus
Daru 	Banten 	Daop I Jakarta 	DAR 	Aktif 	-
Dawuan 	Jawa Barat 	Daop I Jakarta 	DWN 	Aktif 	-
Dayeuhkolot 	Jawa Barat 	Daop II Bandung 	DYK 	Non-Aktif 	Dahulu mempunyai cabang ke Majalaya
Delanggu 	Jawa Tengah 	Daop VI Yogyakarta 	DL 	Aktif 	-
Delok 	Jawa Tengah 	Daop IV Semarang 	DEK 	Non-Aktif 	-
Demak 	Jawa Tengah 	Daop IV Semarang 	DM 	Non-Aktif 	Dahulu mempunyai cabang ke Purwodadi
Depok 	Jawa Barat 	Daop I Jakarta 	DP 	Aktif 	-
Depok Baru 	Jawa Barat 	Daop I Jakarta 	DPB 	Aktif 	-
Dolokmerangir 	Sumatera Utara 	Divire I Sumut dan Aceh 	DMR 	Aktif 	-
Dolopo 	Jawa Timur 	Daop VIII Madiun 	DLO 	Non-Aktif 	-
Doplang 	Jawa Tengah 	Daop IV Semarang 	DPL 	Aktif 	-
Duduk 	Jawa Timur 	Daop VIII Surabaya 	DD 	Aktif 	-
Duren Kalibata 	DKI Jakarta 	Daop I Jakarta 	DRN 	Aktif 	-
Dringu 	Jawa Timur 	Daop IX Jember 	DRI 	Non-Aktif 	-
Duri 	DKI Jakarta 	Daop I Jakarta 	DU 	Aktif 	Memiliki percabangan ke Tangerang
Dusun 	Sumatera Utara 	Divire I Sumut dan Aceh 	DSU 	Aktif 	-
G
Nama Stasiun 	Provinsi 	Daerah Operasi/Divisi Regional 	Kode Stasiun 	Kondisi 	Keterangan
Gambir 	DKI Jakarta 	Daop I Jakarta 	GMR 	Aktif 	-
Gambringan 	Jawa Tengah 	Daop IV Semarang 	GBN 	Aktif 	Memiliki percabangan ke Gundih
Gandasoli 	Jawa Barat 	Daop II Bandung 	GDS 	Aktif 	-
Gandrungmangun 	Jawa Tengah 	Daop V Purwokerto 	GDM 	Aktif 	-
Gang Sentiong 	DKI Jakarta 	Daop I Jakarta 	GST 	Aktif 	-
Garahan 	Jawa Timur 	Daop IX Jember 	GN 	Aktif 	-
Garum 	Jawa Timur 	Daop VIII Surabaya 	GRM 	Aktif 	-
Garuntang 	Lampung 	Divire III Sumsel dan Lampung 	GR 	Non-Aktif 	-
Garut 	Jawa Barat 	Daop II Bandung 	GRT 	Non-Aktif 	-
Gawok 	Jawa Tengah 	Daop VI Yogyakarta 	GW 	Aktif 	-
Gedangan (ke Gd) 	Jawa Tengah 	Daop IV Semarang 	GN 	Non-Aktif 	-
Gedangan (ke Sd) 	Jawa Timur 	Daop VIII Surabaya 	GDG 	Aktif 	-
Gedebage 	Jawa Barat 	Daop II Bandung 	GDB 	Aktif 	-
Gembong 	Jawa Timur 	Daop VIII Surabaya 	GEB 	Akif 	-
Geneng 	Jawa Timur 	Daop VII Madiun 	GG 	Aktif 	-
Genuk 	Jawa Tengah 	Daop IV Semarang 	GNK 	Non-Aktif 	-
Gending 	Jawa Timur 	Daop IX Jember 	GNI 	Non-Aktif 	-
Giham 	Lampung 	Divire III Sumsel dan Lampung 	GHM 	Aktif 	-
Gilas 	Sumatera Selatan 	Divire III Sumsel dan Lampung 	GLS 	Aktif 	-
Glenmore 	Jawa Timur 	Daop IX Jember 	GLM 	Aktif 	-
Godong 	Jawa Tengah 	Daop IV Semarang 	GOG 	Non-Aktif 	-
Gogodalem 	Jawa Tengah 	Daop IV Semarang 	GGD 	Non-Aktif 	Saat ini stasiun ini sedang diaktifkan kembali
Gombong 	Jawa Tengah 	Daop V Purwokerto 	GB 	Aktif 	-
Gondangdia 	DKI Jakarta 	Daop I Jakarta 	GDD 	Aktif 	-
Gondanglegi 	Jawa Timur 	Daop VIII Surabaya 	GDL 	Non-Aktif 	Dahulu memiliki percabangan ke Kepanjen
Goprak 	Jawa Tengah 	Daop VI Yogyakarta 	GPK 	Aktif 	-
Grati 	Jawa Timur 	Daop IX Jember 	GI 	Aktif 	-
Gresik 	Jawa Timur 	Daop VIII Surabaya 	GS 	Non-Aktif 	-
Grobogan 	Jawa Timur 	Daop IX Jember 	GBG 	Non-Aktif 	-
Grompol 	Jawa Tengah 	Daop VI Yogyakarta 	GP 	Non-Aktif 	-
Grujugan 	Jawa Timur 	Daop IX Jember 	GRJ 	Non-Aktif 	-
Gubug 	Jawa Tengah 	Daop IV Semarang 	GUB 	Aktif 	-
Gumilir 	Jawa Tengah 	Daop V Purwokerto 	GM 	Aktif 	Memiliki percabangan ke Stasiun Karangtalun
Gumukmas 	Jawa Timur 	Daop IX Jember 	GKS 	Non-Aktif 	-
Gundih 	Jawa Tengah 	Daop IV Semarang 	GD 	Aktif 	Mempunyai percabangan ke Stasiun Gambringan
Gununggangsir 	[[Jawa Timur[[ 	Daop VIII Surabaya 	GNG 	Aktif 	-
Gunungmegang 	Sumatera Selatan 	Divire III Sumsel dan Lampung 	GNM 	Aktif 	-
Gurah 	Jawa Timur 	Daop VII Madiun 	GU 	Non-Aktif 	Dahulu memiliki percabangan ke Brenggolo
H
Nama Stasiun 	Provinsi 	Daerah Operasi/Divisi Regional 	Kode Stasiun 	Kondisi 	Keterangan
Hajipemanggilan 	Sumatera Selatan 	Divire III Sumsel dan Lampung 	HJP 	Aktif 	-
Haurgeulis 	Jawa Barat 	Daop III Cirebon 	HGL 	Aktif 	-
Haurpugur 	Jawa Barat 	Daop II Bandung 	HRP 	Aktif 	-
I
Nama Stasiun 	Provinsi 	Daerah Operasi/Divisi Regional 	Kode Stasiun 	Kondisi 	Keterangan
Ijo 	Jawa Tengah 	Daop V Purwokerto 	IJ 	Aktif 	-
Indarung 	Sumatera Barat 	Divire II Padang 	IDG 	Aktif 	-
Indihiang 	Jawa Barat 	Daop II Bandung 	IH 	Aktif 	-
Indramayu 	Jawa Barat 	Daop III Cirebon 	IM 	Non-Aktif 	Stasiun Terminus
Indro 	Jawa Timur 	Daop VIII Surabaya 	IDO 	Aktif 	Dahulu memiliki percabangan ke Sumari
Indralaya 	Sumatera Selatan 	Divire III Sumsel dan Lampung 	IDY 	Aktif 	Stasiun Terminus
